StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cF1,105.0,right,right,1,9.733580589999974
1,uC,105.0,right,right,1,0.9213155100001131
1,cC,105.0,right,right,1,0.6147521500001858
2,cC,80.0,left,left,1,0.6147383239999726
2,cC,82.0,left,left,1,0.3844170439999743
2,cC,84.0,left,left,1,0.4990308300000379
2,cC,86.0,left,left,1,0.4991521649999413
2,dC,80.0,left,left,1,0.4223529949999829
1,uC,103.0,right,right,1,0.384295702999907
1,uC,101.0,right,right,1,0.4611789260000023
1,cN1,105.0,right,right,1,0.4222761660000742
2,uC,80.0,left,left,1,0.345719261999875
1,uC,99.0,right,right,1,0.2691074670001399
1,cC,103.0,right,right,1,0.3842603779999081
2,cN1,80.0,left,left,1,0.3462953260000177
2,cC,88.0,left,left,1,0.4989337449999312
1,dC,105.0,right,right,1,0.3075669439999729
1,cF1,103.0,right,right,1,0.3455915810000079
2,dC,82.0,left,left,1,0.3460730120000335
1,uC,97.0,right,right,1,0.3842064619998382
1,cC,101.0,right,right,1,0.6140582150001137
1,cN1,103.0,right,right,1,0.3842295850001847
2,cN1,82.0,left,left,1,0.6145182140000998
2,dC,84.0,left,left,1,0.7293267800000649
1,cC,99.0,right,right,1,0.4609870919998684
2,uC,82.0,left,left,1,0.5758544370000891
1,cN1,101.0,right,right,1,0.4227646619999632
1,dC,103.0,right,right,1,0.4610142090000409
2,cN1,84.0,left,left,1,0.3458352229999946
1,cF1,101.0,right,right,1,0.4608093100000588
1,dC,101.0,right,right,1,0.422369339999932
1,dC,99.0,right,right,1,0.4226892639999278
1,cF1,99.0,right,right,1,0.383876237000095
2,cN1,86.0,left,left,1,0.3840592510000533
1,dC,97.0,right,right,1,0.3073135940001066
2,dC,86.0,left,left,1,0.5764216939999187
2,dC,88.0,left,left,1,1.074601272000109
1,cN1,99.0,right,right,1,0.3071081539999341
2,cN1,88.0,left,left,1,0.461085556999933
1,cF1,97.0,right,right,1,0.3456430849998924
1,cC,97.0,right,right,1,0.4609257130000515
2,cC,90.0,vertical,right,0,0.6910916179999731
1,cF1,95.0,right,right,1,0.8065487740000208
1,cN1,97.0,right,right,1,0.4227441089999502
1,cN1,95.0,right,right,1,0.4609304719999727
2,cF1,80.0,left,left,1,0.6139427379998779
1,uC,95.0,right,right,1,0.3076133590000154
1,uC,93.0,right,right,1,0.4223261360000379
1,dC,95.0,right,right,1,0.3841926319998947
1,cF1,93.0,right,right,1,0.4610136650001095
2,uC,84.0,left,left,1,0.307399857000064
1,cC,95.0,right,right,1,0.1921501750000516
2,cC,90.0,vertical,right,0,0.5762005739998131
2,cN1,90.0,vertical,right,0,0.499687786000095
1,uC,91.0,right,right,1,0.5374604900000577
2,uC,86.0,left,left,1,0.3843259130001115
2,cF1,82.0,left,left,1,0.4225181280000925
2,dC,90.0,vertical,left,0,0.8448159479999049
2,cC,90.0,vertical,left,0,0.4994756119999693
1,uC,89.0,left,left,1,0.5761366510000698
2,cC,90.0,vertical,left,0,0.4220493550001265
2,cC,90.0,vertical,left,0,0.3840246719998959
1,uC,91.0,right,right,1,0.5985811620000732
2,cF1,84.0,left,left,1,0.2304438370001662
1,uC,89.0,left,right,0,0.3459194380000099
1,cF1,91.0,right,right,1,0.4997346899999684
2,cC,90.0,vertical,right,0,0.4221159599999282
1,cN1,93.0,right,right,1,0.3070899370000006
2,cF1,86.0,left,right,0,0.575685668999995
1,dC,93.0,right,right,1,0.3454873129999214
2,cN1,90.0,vertical,right,0,0.3071841800001494
2,cF1,85.0,left,left,1,0.8448731630001021
2,cN1,90.0,vertical,right,0,0.7295789309998781
2,cF1,86.0,left,left,1,0.4998478919999343
2,cN1,90.0,vertical,left,0,0.6906701630000498
1,cC,93.0,right,right,1,0.4225319639999725
2,uC,88.0,left,left,1,0.767459474999896
1,dC,91.0,right,right,1,0.6146731030000865
1,uC,88.0,left,right,0,0.5763640180000493
2,uC,90.0,vertical,right,0,0.4612080720000904
1,cC,91.0,right,right,1,0.4993765520000579
2,cF1,87.0,left,left,1,0.5376300840000567
1,cN1,91.0,right,right,1,0.3840000390000569
2,cF1,88.0,left,right,0,0.4609026389998689
2,uC,90.0,vertical,right,0,0.4611037380000198
1,cN1,89.0,left,right,0,0.4608396820001417
2,cF1,87.5,left,right,0,0.729414646999885
2,uC,90.0,vertical,right,0,0.6909048679999614
2,cF1,87.0,left,right,0,0.384117735000018
2,cC,90.0,vertical,right,0,0.4222459780000918
2,cC,90.0,vertical,right,0,0.4608315709999715
1,dC,89.0,left,right,0,0.5380097719998957
1,cF1,89.0,left,right,0,1.49697160300002
2,cN1,90.0,vertical,right,0,0.422755264999978
2,cN1,90.0,vertical,right,0,0.3458296510000309
1,cF1,88.0,left,left,1,0.4223499949998768
2,cN1,90.0,vertical,right,0,0.499234179000041
1,uC,87.0,left,left,1,0.6529929379998975
1,dC,88.0,left,left,1,0.6912844559999485
2,uC,90.0,vertical,right,0,0.4605744660000255
2,uC,90.0,vertical,right,0,0.6152780080001321
2,dC,90.0,vertical,left,0,0.7679358059999686
2,cF1,86.5,left,left,1,0.5374512480000249
2,cC,90.0,vertical,right,0,0.6141212469999573
1,uC,87.5,left,right,0,4.875185128000112
2,cC,90.0,vertical,right,0,1.075528801000019
2,cN1,90.0,vertical,right,0,0.7683334370001376
1,cN1,88.0,left,right,0,0.4227209799998946
2,cF1,87.0,left,left,1,0.691278556000043
1,cF1,89.0,left,right,0,0.4992411359999096
2,cF1,87.5,left,left,1,0.9217349999998987
1,uC,87.0,left,left,1,0.7675493769997956
1,dC,89.0,left,right,0,0.8067299299998467
1,cC,89.0,left,right,0,1.805026451999993
2,cC,90.0,vertical,right,0,2.802557654999873
1,cF1,88.5,left,right,0,0.6920382370001334
2,cC,90.0,vertical,right,0,0.6912712119999469
1,cC,88.0,left,right,0,0.7297631029998684
2,cF1,88.0,left,right,0,0.3457935159999579
1,dC,88.5,left,left,1,0.4604403380001258
1,uC,87.5,left,left,1,0.5371074289998887
2,dC,90.0,vertical,right,0,0.8841811049999251
2,dC,90.0,vertical,right,0,0.845562561999941
2,dC,90.0,vertical,right,0,0.6919240470001569
2,uC,90.0,vertical,right,0,0.4223045419998925
1,uC,88.0,left,right,0,2.648357445999864
2,cF1,87.5,left,left,1,0.6529015920000347
2,dC,90.0,vertical,left,0,0.5380468999999266
1,cF1,88.0,left,left,1,0.499486786000034
1,uC,87.5,left,right,0,0.4997196580000036
1,cC,87.0,left,left,1,1.036925980999968
2,cN1,90.0,vertical,right,0,0.4993342149998625
1,cN1,87.0,left,left,1,3.072340633000067
1,cC,87.5,left,left,1,1.382406016999994
2,cF1,88.0,left,left,1,1.613001194999924
