StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,dC,80.0,left,left,1,0.5762629660021048
1,cC,105.0,right,right,1,2.035215256997617
1,cC,103.0,right,left,0,0.8454267830238678
2,cC,80.0,left,left,1,0.5379542759910692
1,uC,105.0,right,right,1,1.191642945981584
2,dC,82.0,left,left,1,2.18710196702159
1,cC,104.0,right,right,1,0.5760867960052565
2,uC,80.0,left,left,1,0.15356888298993
1,cC,103.0,right,right,1,0.4991859730216675
2,cC,82.0,left,left,1,0.3076592549914494
1,dC,105.0,right,right,1,0.9212539099971764
1,cC,102.0,right,left,0,0.729458545014495
1,uC,103.0,right,right,1,0.3456599010096397
2,uC,82.0,left,left,1,0.2694706629845314
2,cC,84.0,left,left,1,0.2693273609911557
2,cC,86.0,left,left,1,0.8067455679993145
2,dC,84.0,left,left,1,0.8065718229918275
1,dC,103.0,right,right,1,0.5763797360123135
1,dC,101.0,right,right,1,0.9215959729917813
1,uC,101.0,right,right,1,0.8066270260023884
1,dC,99.0,right,right,1,0.7298675380006898
2,uC,84.0,left,left,1,0.8066210760152899
1,cC,102.5,right,right,1,2.341839300002903
2,dC,86.0,left,left,1,0.9222189779975452
2,dC,88.0,left,left,1,0.8061617329949513
2,uC,86.0,left,left,1,0.7298960789921694
1,cC,102.0,right,right,1,2.07235223299358
1,dC,97.0,right,left,0,0.6146690330060665
2,cC,88.0,left,left,1,0.191977392998524
2,cC,90.0,vertical,left,0,0.1155459120054729
1,dC,98.0,right,right,1,0.3840391499979887
1,uC,99.0,right,right,1,0.6914332900196314
2,cC,90.0,vertical,left,0,0.8835393610061146
1,cC,101.5,right,right,1,2.073296118003782
2,dC,90.0,vertical,right,0,3.453773198009003
1,cC,101.0,right,left,0,1.189738526009023
1,dC,97.0,right,right,1,0.8830087709939107
2,dC,90.0,vertical,left,0,0.9609833529975731
1,uC,97.0,right,right,1,1.804173793992959
2,uC,88.0,left,left,1,0.3070520350011066
1,uC,95.0,right,left,0,0.3459647929994389
1,uC,96.0,right,right,1,0.5759690109989606
2,dC,90.0,vertical,left,0,0.3072242929774802
2,uC,90.0,vertical,left,0,0.2305607270100154
2,uC,90.0,vertical,left,0,0.5371228749863803
2,uC,90.0,vertical,left,0,0.5766712329932489
2,uC,90.0,vertical,left,0,0.1925068690034095
2,uC,90.0,vertical,left,0,0.7296046279952861
1,dC,96.0,right,right,1,0.4995860650087707
1,cC,101.5,right,left,0,1.420326264022151
1,dC,95.0,right,right,1,0.3839577960025053
1,dC,94.0,right,right,1,0.8073730299947783
2,dC,90.0,vertical,left,0,0.9608284349960741
2,dC,90.0,vertical,left,0,0.5758619719999842
2,cC,90.0,vertical,left,0,0.6529672890028451
2,uC,90.0,vertical,left,0,0.7518320330127608
1,uC,95.0,right,right,1,0.6528620440221857
1,uC,94.0,right,right,1,0.4609080480004195
1,dC,93.0,right,left,0,1.919512294000015
2,cC,90.0,vertical,left,0,0.4606304810149595
2,uC,90.0,vertical,left,0,0.6528190899989568
1,dC,93.5,right,right,1,0.7679708559880964
2,cC,90.0,vertical,left,0,1.074712036992423
2,dC,90.0,vertical,left,0,0.7677877259848174
2,cC,90.0,vertical,left,0,0.5756315520266071
2,uC,90.0,vertical,left,0,0.7299283639877103
1,uC,93.0,right,right,1,1.190483377024066
2,cC,90.0,vertical,left,0,0.5372987620066851
2,cC,90.0,vertical,left,0,0.7683009250031319
1,dC,93.0,right,right,1,1.381330423988402
1,dC,92.5,right,left,0,0.4991401309962384
2,dC,90.0,vertical,left,0,0.2688598870008718
2,uC,90.0,vertical,left,0,0.3072667889937293
1,dC,93.0,right,left,0,0.3843353130214382
2,dC,90.0,vertical,left,0,0.230555607995484
1,uC,92.0,right,left,0,1.305656712997006
1,dC,93.5,right,right,1,3.223448315984569
1,uC,92.5,right,left,0,1.075250613997923
1,uC,93.0,right,left,0,1.036671785986982
1,uC,93.5,right,right,1,2.265617544006091
1,dC,93.0,right,right,1,1.228052613005275
1,cC,102.0,right,left,0,2.763579994003521
2,uC,90.0,vertical,left,0,36.37282803200651
2,cC,90.0,vertical,left,0,0.7675344049930573
1,uC,93.0,right,left,0,1.228348295990145
2,uC,90.0,vertical,left,0,6.640244274021825
2,dC,90.0,vertical,left,0,0.268974893988343
1,dC,92.5,right,left,0,1.306012974004261
2,dC,90.0,vertical,right,0,0.8449956280237529
1,cC,102.5,right,right,1,1.382491069991374
1,uC,93.5,right,right,1,2.18786199297756
1,cC,102.0,right,right,1,0.423340901004849
1,uC,93.0,right,right,1,0.4991876060084905
2,dC,90.0,vertical,left,0,0.307184920005966
2,uC,90.0,vertical,left,0,0.3075762249936815
1,uC,92.5,right,left,0,0.3457652399956714
1,dC,93.0,right,left,0,0.3453835870022886
2,dC,90.0,vertical,left,0,0.3072674559953157
2,uC,90.0,vertical,left,0,0.2690369150077458
2,uC,90.0,vertical,right,0,0.8831824439985212
2,cC,90.0,vertical,left,0,0.3076496320136357
2,uC,90.0,vertical,left,0,0.8836479029851034
2,cC,90.0,vertical,left,0,0.1920362749951892
2,dC,90.0,vertical,left,0,0.9209085530019365
1,cC,101.5,right,right,1,20.57592562699574
1,uC,93.0,right,left,0,0.3459753429924604
1,cC,101.0,right,left,0,0.4994648160063662
1,uC,93.5,right,left,0,1.534864019020461
2,cC,90.0,vertical,left,0,0.9606077549979091
2,cC,90.0,vertical,left,0,0.8444902980118059
1,cC,101.5,right,right,1,1.420104710996384
2,dC,90.0,vertical,left,0,0.8830464649945498
2,cC,90.0,vertical,left,0,1.113320118020056
2,cC,90.0,vertical,left,0,0.8446801950049121
1,cC,101.0,right,right,1,1.189264809974702
1,uC,94.0,right,right,1,1.190912266989471
2,dC,90.0,vertical,right,0,1.7285805529973
1,cC,100.5,right,right,1,1.420438592002029
2,dC,90.0,vertical,right,0,2.457192814996233
1,uC,93.5,right,right,1,1.218825318006566
1,cC,100.0,right,left,0,0.7680264429945964
1,dC,93.5,right,right,1,1.612564183014911
1,cC,100.5,right,right,1,25.21640908200061
1,cC,100.0,right,right,1,0.6142970450164285
1,uC,93.0,right,left,0,0.4606429690029472
1,dC,93.0,right,right,1,0.5763821589935105
2,uC,90.0,vertical,left,0,0.4993638620071579
2,cC,90.0,vertical,left,0,0.4992952999891713
1,uC,93.5,right,left,0,1.535191672999645
2,dC,90.0,vertical,left,0,0.3073554000002332
1,dC,92.5,right,left,0,0.691303629981121
2,cC,90.0,vertical,left,0,0.7684131740243174
2,uC,90.0,vertical,left,0,0.4224076019891072
1,cC,99.5,right,left,0,0.614350171003025
1,cC,100.0,right,right,1,0.3839934720017482
1,uC,94.0,right,right,1,0.4990700960042886
1,dC,93.0,right,right,1,0.5760403909953311
2,uC,90.0,vertical,left,0,0.4225280509854201
1,dC,92.5,right,left,0,0.3453288419987075
1,cC,99.5,right,right,1,0.7680646239896305
1,cC,99.0,right,right,1,0.6911461359995883
2,cC,90.0,vertical,left,0,0.3843043770175427
2,uC,90.0,vertical,left,0,0.5762180250021629
2,cC,90.0,vertical,left,0,0.4993363329849672
2,dC,90.0,vertical,left,0,0.3839798270200845
2,dC,90.0,vertical,left,0,1.382217919017421
2,cC,90.0,vertical,left,0,0.2693316060176585
2,dC,90.0,vertical,left,0,0.2686367710120976
1,dC,93.0,right,left,0,0.4227183440234512
2,uC,90.0,vertical,left,0,1.612214391003363
1,cF1,105.0,right,right,1,1.113832581992028
1,cF1,103.0,right,right,1,0.4994307340239175
1,cN1,105.0,right,left,0,1.229716857982567
1,cN1,107.0,right,right,1,2.572632335009985
2,cF1,80.0,left,left,1,0.3071997000079136
1,cF1,101.0,right,left,0,0.6911449359904509
2,cN1,80.0,left,left,1,0.7302727969945408
1,cN1,106.0,right,right,1,0.6907021109946072
1,cN1,105.0,right,right,1,33.90218206300051
2,cN1,82.0,left,left,1,0.2688481069926638
2,cF1,82.0,left,left,1,0.7676631539943628
2,cF1,84.0,left,left,1,0.2308529220172204
1,cF1,102.0,right,left,0,1.998051513015525
2,cN1,84.0,left,left,1,0.3458460769907106
1,cF1,103.0,right,right,1,0.7301188659912441
2,cF1,86.0,left,left,1,0.9596768960182089
1,cF1,102.5,right,right,1,1.268593932007207
2,cN1,86.0,left,left,1,0.8838780490041245
1,cN1,104.0,right,left,0,0.4611009069776628
1,cN1,104.5,right,right,1,0.9221952229854651
1,cF1,102.0,right,right,1,0.5758999540121295
1,cF1,101.5,right,right,1,0.6906939110194799
2,cF1,88.0,left,left,1,0.2688012589933351
1,cN1,104.0,right,right,1,0.4608404509781394
2,cF1,90.0,vertical,left,0,0.5758192299981602
2,cN1,88.0,left,left,1,1.497630341007607
2,cN1,90.0,vertical,left,0,0.268880404997617
1,cF1,101.0,right,right,1,1.037000750016887
2,cF1,90.0,vertical,left,0,0.307954357995186
2,cF1,90.0,vertical,left,0,0.2303545069880784
2,cN1,90.0,vertical,left,0,0.8444970920099877
1,cF1,100.5,right,right,1,1.227837857004488
1,cF1,100.0,right,right,1,0.959546034981031
2,cN1,90.0,vertical,left,0,1.535563810000895
1,cF1,99.5,right,right,1,1.114005762006855
2,cF1,90.0,vertical,left,0,0.6140257140214089
1,cN1,103.5,right,right,1,3.226085001020692
2,cF1,90.0,vertical,left,0,0.384289566980442
2,cF1,90.0,vertical,left,0,0.2688581600086764
2,cN1,90.0,vertical,left,0,0.6144658489793073
1,cN1,103.0,right,left,0,2.035181365004973
1,cF1,99.0,right,right,1,0.9604184319905471
2,cN1,90.0,vertical,left,0,0.9984890240011737
2,cN1,90.0,vertical,left,0,0.2690384309971705
