StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,cF1,80.0,left,left,1,1.07480704999989
1,cC,105.0,right,right,1,0.5375044610000259
1,cN1,105.0,right,right,1,0.5375666099998853
2,cN1,80.0,left,left,1,0.3461934130000373
2,cC,80.0,left,left,1,0.3072331700000177
2,cC,82.0,left,left,1,0.3069268719996217
1,uC,105.0,right,right,1,0.4610552519998237
1,dC,105.0,right,right,1,0.3070165949998227
2,cF1,82.0,left,left,1,0.345352360999641
1,cN1,103.0,right,right,1,0.4223772969999118
1,cN1,101.0,right,right,1,0.3072369209999124
2,cF1,84.0,left,left,1,0.4608479280000211
1,cF1,105.0,right,right,1,0.5375030390000575
1,cN1,99.0,right,right,1,0.3067812070003129
2,dC,80.0,left,left,1,0.4222402149998743
2,cF1,86.0,left,left,1,0.5758889570001884
2,cF1,88.0,left,left,1,1.075283485999989
2,cN1,82.0,left,left,1,0.5385186600001362
1,cN1,97.0,right,right,1,0.4223828419999336
2,cN1,84.0,left,left,1,0.5370997529998931
2,dC,82.0,left,left,1,0.3453935160000583
1,cC,103.0,right,right,1,0.4992972879999797
1,dC,103.0,right,right,1,0.4222111070002939
1,cN1,95.0,right,right,1,0.4223569509999834
2,cC,84.0,left,left,1,0.4221454309999899
1,uC,103.0,right,right,1,0.384321369999725
1,cN1,93.0,right,right,1,0.6525610419998884
2,cN1,86.0,left,left,1,0.4612649989999227
1,uC,101.0,right,right,1,0.4995630609996624
1,cN1,91.0,right,right,1,1.036718212999858
2,dC,84.0,left,left,1,0.3842762260001109
2,cN1,88.0,left,left,1,0.3843878929997118
2,cN1,90.0,vertical,left,0,0.6904739400001745
1,cN1,89.0,left,left,1,0.7297764949998964
1,cF1,103.0,right,right,1,0.4986588609999671
2,cN1,90.0,vertical,left,0,0.422542121999868
1,cN1,91.0,right,left,0,0.3452185490000375
1,dC,101.0,right,right,1,0.8061423220001416
2,cC,86.0,left,left,1,0.2688466649997281
2,cN1,90.0,vertical,left,0,0.3838891400000648
2,dC,86.0,left,left,1,0.3840707709996423
1,dC,99.0,right,right,1,0.4610751729996991
2,cC,88.0,left,left,1,0.4222091450001244
2,cN1,90.0,vertical,left,0,0.3073393099998611
2,dC,88.0,left,left,1,0.3839732490000642
2,dC,90.0,vertical,left,0,0.4607836169998336
2,uC,80.0,left,left,1,0.3072583100001793
2,cN1,90.0,vertical,left,0,0.2697550930001853
1,cC,101.0,right,right,1,0.4994510369997442
2,uC,82.0,left,left,1,0.5761344499996994
1,uC,99.0,right,right,1,0.8824937389999832
1,uC,97.0,right,right,1,0.4226398699997844
2,cF1,90.0,vertical,left,0,0.8444020750002892
2,dC,90.0,vertical,left,0,0.5369952640003248
1,cC,99.0,right,right,1,0.5377024469999014
2,uC,84.0,left,left,1,0.3841909329998998
1,cC,97.0,right,right,1,0.3838207079998028
1,cC,95.0,right,right,1,0.6912225529999887
2,dC,90.0,vertical,left,0,0.6522150220002914
2,uC,86.0,left,left,1,0.4611843579996275
2,uC,88.0,left,left,1,0.6528137499999502
1,cF1,101.0,right,right,1,0.4992890819999047
1,cC,93.0,right,left,0,0.5371744280000712
2,cC,90.0,vertical,left,0,0.8827069720000509
1,uC,95.0,right,right,1,0.4224027279997244
1,cF1,99.0,right,right,1,0.4610022080000817
1,cC,94.0,right,right,1,0.5372428870000476
1,cN1,92.0,right,right,1,0.4995301559997642
1,dC,97.0,right,right,1,0.4607973039996978
2,uC,90.0,vertical,left,0,1.113550835999831
2,cC,90.0,vertical,left,0,0.3837844810000206
2,cN1,90.0,vertical,left,0,0.422106827999869
2,cC,90.0,vertical,left,0,0.5759411480003109
1,cC,93.0,right,left,0,0.4991100160000315
1,uC,93.0,right,left,0,0.6140846850003072
2,cN1,90.0,vertical,left,0,0.6144216000002416
1,cN1,91.0,right,left,0,0.5752939160001915
1,cF1,97.0,right,right,1,0.4989974119998806
2,cN1,90.0,vertical,left,0,0.5373478629999227
2,uC,90.0,vertical,left,0,0.4986808870007735
1,dC,95.0,right,right,1,0.4605198990002464
2,cF1,90.0,vertical,left,0,0.6527724470006433
1,cF1,95.0,right,left,0,0.6146810949994688
2,cF1,90.0,vertical,left,0,0.6136669830002575
2,uC,90.0,vertical,left,0,0.6145407359999808
2,dC,90.0,vertical,left,0,0.460772340999938
2,cF1,90.0,vertical,left,0,0.6151284070001566
2,cC,90.0,vertical,left,0,0.6914244569998118
2,cF1,90.0,vertical,left,0,0.9213785980000466
2,cF1,90.0,vertical,left,0,0.460492436000095
2,cC,90.0,vertical,left,0,0.6529308529998161
2,cF1,90.0,vertical,left,0,0.6904973959999552
2,dC,90.0,vertical,left,0,1.688898011999299
1,dC,93.0,right,right,1,0.4608227740000075
2,uC,90.0,vertical,right,0,0.8827492439995694
