StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,uC,105.0,right,right,1,1.443532882956788
2,cN1,80.0,left,left,1,0.2304596129688434
2,uC,80.0,left,left,1,0.4220898319617845
2,cF1,80.0,left,left,1,0.1535144870285876
1,cC,105.0,right,right,1,0.2303780569927767
1,cF1,105.0,right,right,1,0.230212927039247
1,cF1,103.0,right,right,1,0.1539424009970389
2,cF1,82.0,left,left,1,0.1922878549667075
2,cC,80.0,left,left,1,0.1537512710201554
2,cF1,84.0,left,right,0,0.6527145120198838
1,dC,105.0,right,right,1,0.1919994330382906
2,cC,82.0,left,left,1,0.4227189350058325
1,uC,103.0,right,right,1,3.070694059017114
1,cN1,105.0,right,right,1,0.3837246299954131
2,dC,80.0,left,left,1,0.3457820300245658
1,cN1,103.0,right,right,1,0.3070729449973442
2,dC,82.0,left,left,1,0.6526303719729185
2,cN1,82.0,left,right,0,3.87489038601052
2,uC,82.0,left,left,1,0.5376712080324069
2,uC,84.0,left,right,0,0.6518474839976989
2,dC,84.0,left,left,1,0.6907073939801194
1,dC,103.0,right,right,1,0.3073087729862891
2,cF1,83.0,left,left,1,0.2301296960213222
1,uC,101.0,right,left,0,4.87278759299079
1,cN1,101.0,right,right,1,0.268976314982865
2,cF1,84.0,left,left,1,0.3301770319812931
1,cC,103.0,right,right,1,0.1154387629940175
2,cC,84.0,left,left,1,0.7677796480129473
2,cF1,85.0,left,left,1,0.1923084779991768
2,dC,86.0,left,right,0,0.4610968380002305
1,uC,102.0,right,right,1,0.3839741229894571
1,dC,101.0,right,right,1,0.4221650380059145
2,cF1,86.0,left,right,0,0.4997929689707235
1,dC,99.0,right,right,1,0.4221864989958704
1,cC,101.0,right,right,1,0.3453915779828094
2,cN1,81.0,left,right,0,0.6912937560118735
2,dC,85.0,left,left,1,0.5756499220151454
2,dC,86.0,left,left,1,1.49580989300739
2,cF1,85.5,left,left,1,0.9597445779945701
2,cN1,80.0,left,right,0,1.190229836036451
1,cN1,99.0,right,right,1,0.3068202040158212
2,cN1,79.0,left,right,0,0.7675369150238112
2,uC,83.0,left,left,1,0.6146087379893288
2,cF1,86.0,left,left,1,0.5754384719766676
2,cC,86.0,left,right,0,0.9208205679897219
2,cC,85.0,left,right,0,0.6141772189876065
1,uC,101.0,right,right,1,0.3068621749989688
2,cF1,86.5,left,left,1,13.39124618598726
2,uC,84.0,left,left,1,2.072157457994763
2,uC,85.0,left,left,1,0.4607851069886237
