StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cC,105.0,right,right,1,4.718474731999777
2,dC,80.0,left,left,1,1.03621971199982
1,cC,103.0,right,right,1,3.491737788999671
2,cC,80.0,left,left,1,0.8062820340001053
2,cC,82.0,left,left,1,0.5371959099998094
1,cC,101.0,right,right,1,0.4604032809997989
1,cC,99.0,right,right,1,1.649203154000134
2,uC,80.0,left,left,1,0.882286065000244
2,uC,82.0,left,left,1,0.7289633350001168
1,uC,105.0,right,right,1,1.342449061000025
2,dC,82.0,left,left,1,0.4219863960001931
1,uC,103.0,right,right,1,1.879085904000021
2,cC,84.0,left,right,0,1.956141364999894
2,dC,84.0,left,left,1,0.5753679909998937
2,uC,84.0,left,left,1,0.4985459950003133
2,cC,83.0,left,left,1,1.305154733000109
1,cC,97.0,right,left,0,1.611100180999983
1,cC,98.0,right,left,0,0.9207961690003685
2,uC,86.0,left,left,1,0.4603275650001706
1,dC,105.0,right,right,1,0.4604327550000562
1,uC,101.0,right,right,1,0.8450125750000552
1,uC,99.0,right,left,0,1.111886407000384
2,uC,88.0,left,left,1,0.3839100200002576
2,dC,86.0,left,left,1,0.7680514640001093
1,uC,100.0,right,left,0,1.573219971000071
2,cC,84.0,left,left,1,0.345320324000113
2,dC,88.0,left,left,1,0.4216566879999846
1,dC,103.0,right,right,1,0.3072017039999082
1,dC,101.0,right,left,0,0.3458050990002448
2,dC,90.0,vertical,left,0,0.4991962850003802
1,uC,101.0,right,left,0,0.5753397429998586
1,cC,99.0,right,right,1,2.148101451999992
1,uC,102.0,right,right,1,0.5369985399997859
1,cC,98.5,right,right,1,1.265810569999758
1,cC,98.0,right,left,0,0.4990498020001723
2,cC,85.0,left,left,1,0.2686369640000521
1,dC,102.0,right,right,1,0.2685414980001042
1,dC,101.0,right,left,0,0.6138846329999978
2,uC,90.0,vertical,left,0,0.3836444009998559
2,uC,90.0,vertical,left,0,0.3841427769998518
1,cC,98.5,right,left,0,0.5365136460000031
1,cC,99.0,right,right,1,1.074060286000076
2,cC,86.0,left,left,1,0.3071677340003589
2,cC,87.0,left,left,1,0.3069075339999472
2,cC,88.0,left,left,1,0.5368900979997306
2,uC,90.0,vertical,left,0,0.3836007650002102
2,uC,90.0,vertical,left,0,0.3070992340003613
1,cC,98.5,right,left,0,1.190391842000281
1,uC,101.5,right,right,1,0.6909083410000676
1,dC,101.5,right,right,1,0.4603840360000504
1,dC,101.0,right,right,1,0.3071025569997801
1,cC,99.0,right,right,1,0.6137403170000653
2,uC,90.0,vertical,left,0,0.3455853420000494
2,dC,90.0,vertical,left,0,0.3456659600001331
2,cC,89.0,left,left,1,0.7670522240000537
1,dC,100.5,right,right,1,0.3069701290000921
2,dC,90.0,vertical,left,0,0.8439094429995748
1,uC,101.0,right,right,1,0.3069727719998809
2,cC,90.0,vertical,left,0,0.5754040960000566
1,uC,100.5,right,right,1,0.3071574949999558
2,dC,90.0,vertical,right,0,0.6145931639998707
1,dC,100.0,right,right,1,0.5372489490000589
1,uC,100.0,right,right,1,0.2683834819999902
1,dC,99.5,right,left,0,0.5369363429999794
2,dC,90.0,vertical,left,0,0.4227041869999084
1,cC,98.5,right,left,0,0.9592681120002453
1,uC,99.5,right,left,0,0.4220990219996565
2,cC,90.0,vertical,left,0,0.2301673239999218
2,dC,90.0,vertical,left,0,0.4222980129998177
1,uC,100.0,right,right,1,0.5754537200000414
1,dC,100.0,right,right,1,0.3069732250000925
2,uC,90.0,vertical,left,0,0.3069621220001864
1,uC,99.5,right,left,0,0.4983836300002622
1,dC,99.5,right,right,1,0.3838971720001609
1,uC,100.0,right,left,0,0.4223337639996316
1,dC,99.0,right,right,1,0.3836494719998882
2,uC,90.0,vertical,left,0,0.4604482999998254
2,cC,90.0,vertical,left,0,0.3453555659998528
2,uC,90.0,vertical,left,0,0.3837495490001857
1,cC,99.0,right,right,1,1.533631568999681
2,cC,90.0,vertical,left,0,0.767067236999992
2,uC,90.0,vertical,left,0,0.2916215919999559
2,cC,90.0,vertical,left,0,0.2688859629997751
2,dC,90.0,vertical,left,0,0.4611971839999569
2,cC,90.0,vertical,left,0,1.495921144000022
2,cC,90.0,vertical,left,0,0.3454258990000199
1,uC,100.5,right,right,1,1.035980180000024
1,dC,98.5,right,right,1,1.304629677999856
1,cC,98.5,right,left,0,0.6522674269999698
1,cC,99.0,right,left,0,0.9202732319999996
2,uC,90.0,vertical,left,0,0.46037867799987
1,uC,100.0,right,right,1,0.6137699099999736
1,cC,99.5,right,right,1,0.8433930050000527
2,cC,90.0,vertical,left,0,0.4218013299996528
1,uC,99.5,right,right,1,0.9591221870000481
1,cC,99.0,right,left,0,0.6900114180002674
1,dC,98.0,right,left,0,0.8058675209999819
1,uC,99.0,right,left,0,0.9205301390002205
1,dC,98.5,right,left,0,0.5757796889997735
2,dC,90.0,vertical,left,0,0.5758556269997825
2,dC,90.0,vertical,left,0,0.4987539049998304
2,cC,90.0,vertical,right,0,0.9207408350002879
1,dC,99.0,right,right,1,0.3072332880001341
1,cC,99.5,right,left,0,0.5752918550001596
1,uC,99.5,right,right,1,0.6914371650000248
2,dC,90.0,vertical,left,0,0.7298009359997195
1,cC,100.0,right,right,1,1.265272261000064
2,cC,90.0,vertical,left,0,0.383804322999822
2,dC,90.0,vertical,left,0,4.41005628899984
2,dC,90.0,vertical,left,0,0.9205109069998798
2,uC,90.0,vertical,left,0,0.4226420830000279
2,dC,90.0,vertical,left,0,0.4993102050002562
2,uC,90.0,vertical,left,0,0.46066182200002
2,cC,90.0,vertical,left,0,0.345992170000045
1,cC,99.5,right,left,0,0.997954031000063
1,dC,98.5,right,right,1,0.3835783590002393
1,uC,99.0,right,right,1,0.3838987340000131
1,dC,98.0,right,right,1,0.2684729789998528
1,uC,98.5,right,right,1,1.573395025000082
2,cC,90.0,vertical,right,0,2.876955260999694
2,dC,90.0,vertical,left,0,0.3841960169997947
2,uC,90.0,vertical,left,0,0.3837488210001538
1,dC,97.5,right,right,1,0.307230077999975
1,uC,98.0,right,right,1,0.5754049309998663
2,cC,90.0,vertical,left,0,0.9819703960001789
1,cC,100.0,right,left,0,0.3456959079999251
2,dC,90.0,vertical,left,0,0.2300564290003422
1,uC,97.5,right,right,1,0.8057352310001988
1,cC,100.5,right,right,1,1.496055258000069
2,dC,90.0,vertical,left,0,0.2689980670002114
1,dC,97.0,right,right,1,0.3837332060002154
2,uC,90.0,vertical,left,0,0.3450389039999209
2,uC,90.0,vertical,left,0,0.3833966949996466
2,uC,90.0,vertical,left,0,0.3072102329997506
2,uC,90.0,vertical,left,0,0.2301517639998565
2,dC,90.0,vertical,left,0,0.2303445309999006
2,dC,90.0,vertical,left,0,0.2692055960005746
2,uC,90.0,vertical,left,0,0.5754576830004225
2,cC,90.0,vertical,left,0,0.8824048149999726
2,dC,90.0,vertical,left,0,0.6907563380000283
1,dC,96.5,right,left,0,0.2686592399995789
1,uC,97.0,right,left,0,0.3068778489996475
1,dC,97.0,right,right,1,0.6909081269996022
2,dC,90.0,vertical,left,0,0.2688067120006963
1,dC,96.5,right,right,1,0.6136640000004263
2,cC,90.0,vertical,left,0,0.2686992290000489
2,uC,90.0,vertical,left,0,0.2307180440002412
2,uC,90.0,vertical,left,0,0.2685415750001994
1,cC,100.0,right,right,1,0.9589552309998908
1,dC,96.0,right,right,1,0.460663982999904
2,cN1,80.0,left,left,1,0.3843575439999825
1,cN1,105.0,right,left,0,0.8066369340000108
1,cN1,107.0,right,right,1,1.228526475999985
2,cN1,82.0,left,right,0,1.804371052999983
1,cF1,105.0,right,left,0,0.5759745649999957
