StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cF1,105.0,right,right,1,0.7675939860055223
2,cF1,80.0,left,right,0,1.65082900901325
2,cN1,80.0,left,left,1,0.2690584219817538
2,cC,80.0,left,left,1,0.6146877440041862
1,cN1,105.0,right,right,1,1.344957241002703
1,cN1,103.0,right,right,1,0.5376172160031274
1,uC,105.0,right,right,1,0.460975756024709
1,dC,105.0,right,left,0,0.3076274160121102
1,cC,105.0,right,right,1,0.5758071390155237
1,cF1,103.0,right,right,1,0.6140817190171219
1,cC,103.0,right,right,1,1.037443856010213
2,dC,80.0,left,left,1,0.2688431779970415
1,uC,103.0,right,right,1,0.498988431005273
1,cN1,101.0,right,right,1,0.5762476420204621
1,cN1,99.0,right,right,1,0.4224881450063549
1,dC,107.0,right,right,1,0.4224646300135646
2,dC,82.0,left,left,1,0.3071783820050769
2,uC,80.0,left,left,1,0.4222483529883903
1,dC,106.0,right,right,1,0.4221822000108659
2,cC,82.0,left,left,1,0.4605332039936911
2,cC,84.0,left,left,1,0.4610769949795213
2,cN1,82.0,left,left,1,0.3840307119826321
1,dC,105.0,right,right,1,0.4222915830032434
2,uC,82.0,left,left,1,0.4608351060014684
2,cF1,78.0,left,left,1,0.3842190520081203
2,dC,84.0,left,left,1,0.2687649959989358
2,dC,86.0,left,left,1,0.306902023992734
1,cF1,101.0,right,right,1,0.2685853769944515
2,uC,84.0,left,left,1,0.6526109309925232
2,cF1,79.0,left,left,1,0.3838891839841381
1,dC,104.0,right,right,1,0.3840318800066598
1,dC,103.0,right,right,1,0.2687950459949207
1,cC,101.0,right,right,1,0.4992252349911723
1,cN1,97.0,right,right,1,0.4606093210168183
1,cC,99.0,right,right,1,0.5376816590141971
2,dC,88.0,left,left,1,0.3453122419887222
2,uC,86.0,left,left,1,0.2688643200090155
1,cF1,99.0,right,right,1,0.4607345000258647
2,cF1,80.0,left,left,1,0.5379793960019015
