StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,dC,80.0,left,left,1,0.9219980950001627
1,dC,105.0,right,right,1,0.367832122999971
1,uC,105.0,right,right,1,0.4223780100001022
2,cC,80.0,left,left,1,0.6528292980001424
1,dC,103.0,right,right,1,0.3459924899980251
1,cC,105.0,right,right,1,1.036222177001036
2,uC,80.0,left,left,1,0.6911098390010011
1,uC,103.0,right,right,1,0.3071649169978627
2,cC,82.0,left,left,1,0.6533308240032056
1,dC,101.0,right,right,1,0.6522666370001389
2,cC,84.0,left,left,1,0.3071572120024939
1,uC,101.0,right,right,1,0.2306622169999173
1,uC,99.0,right,left,0,0.4228995240009681
1,cC,103.0,right,right,1,0.4605396999977529
2,cC,86.0,left,left,1,0.2688988120025897
1,dC,99.0,right,right,1,0.345597456998803
2,uC,82.0,left,left,1,0.5379274799997802
2,cC,88.0,left,left,1,0.4227341510013503
1,dC,97.0,right,right,1,0.4610922500032757
2,uC,84.0,left,left,1,0.6915490850005881
2,uC,86.0,left,left,1,1.344357009002124
1,dC,95.0,right,left,0,0.5761739249974198
1,cC,101.0,right,right,1,0.4610944509986439
1,dC,96.0,right,left,0,0.2687418080022326
2,cC,90.0,vertical,left,0,0.5000328320020344
2,dC,82.0,left,left,1,0.384184082999127
2,cC,90.0,vertical,left,0,0.4997898629990232
2,uC,88.0,left,left,1,0.4608102989986946
2,dC,84.0,left,left,1,0.4610488670004997
2,dC,86.0,left,left,1,0.4226726599990798
1,cC,99.0,right,right,1,0.767830379998486
2,uC,90.0,vertical,left,0,0.5767689679996693
2,dC,88.0,left,left,1,0.3074920929975633
2,uC,90.0,vertical,left,0,0.4992745850031497
1,uC,100.0,right,right,1,0.3838121560002037
2,dC,90.0,vertical,left,0,0.3843223939984455
1,cC,97.0,right,right,1,1.382307569998375
2,uC,90.0,vertical,left,0,0.5380619550014671
2,dC,90.0,vertical,left,0,0.5975528520029911
1,dC,97.0,right,right,1,0.614767215000029
2,cC,90.0,vertical,left,0,0.3457741339989298
1,dC,96.5,right,right,1,0.3839561530003266
2,dC,90.0,vertical,right,0,0.9598450630001025
1,dC,96.0,right,right,1,0.3840494799987937
2,dC,90.0,vertical,right,0,0.5381177780000144
1,cC,95.0,right,right,1,0.5761425810014771
2,dC,90.0,vertical,right,0,0.9605368390002695
2,dC,90.0,vertical,left,0,0.5378730570009793
1,dC,95.5,right,right,1,0.653060025000741
1,cC,93.0,right,left,0,0.6532095319998916
2,cC,90.0,vertical,left,0,0.3461564549979812
2,uC,90.0,vertical,left,0,0.4228413430028013
2,cC,90.0,vertical,left,0,0.1537945519994537
2,cC,90.0,vertical,left,0,0.4607653790008044
1,dC,95.0,right,right,1,0.38415240500035
2,cC,90.0,vertical,left,0,0.1922044640014064
2,cC,90.0,vertical,left,0,0.3070297990016115
1,uC,99.0,right,right,1,0.4223814460019639
1,uC,98.0,right,right,1,0.3459370970012969
1,cC,94.0,right,left,0,0.538238432000071
2,dC,90.0,vertical,left,0,0.3075694949984609
2,uC,90.0,vertical,left,0,0.4992479399988952
2,dC,90.0,vertical,left,0,0.8837941609999689
1,cC,95.0,right,left,0,0.4229164319986012
2,dC,90.0,vertical,left,0,0.5381158179989143
1,cC,96.0,right,left,0,0.2308515799995803
1,dC,94.5,right,right,1,0.3844536289980169
2,dC,90.0,vertical,right,0,1.728525339000043
2,uC,90.0,vertical,left,0,0.538019425002858
1,dC,94.0,right,right,1,0.9227236790029565
2,dC,90.0,vertical,left,0,0.2689717800021754
2,cC,90.0,vertical,left,0,0.576093554002
1,cC,97.0,right,left,0,0.1923339259992645
1,dC,93.5,right,left,0,0.6527969229973678
2,uC,90.0,vertical,left,0,0.57585330800066
1,cC,98.0,right,right,1,0.7301013190008234
1,cC,97.5,right,right,1,0.4608754230030172
1,dC,94.0,right,right,1,0.6529893500010076
1,cC,97.0,right,right,1,0.4605967120005516
2,cC,90.0,vertical,left,0,0.2304161380016012
1,cC,96.5,right,left,0,1.037770822000311
2,dC,90.0,vertical,left,0,0.1922911699984979
1,uC,97.0,right,right,1,0.7687537709971366
1,cC,97.0,right,left,0,0.2692271159976372
2,cC,90.0,vertical,left,0,0.5382832499999495
2,cC,90.0,vertical,right,0,0.8071123890003946
1,cC,97.5,right,right,1,0.4226538809998601
1,dC,93.5,right,right,1,0.4227958369992848
2,cC,90.0,vertical,left,0,0.3845174560010491
1,uC,96.0,right,right,1,0.9982259889984562
1,cC,97.0,right,right,1,0.3076747419981984
1,uC,95.0,right,right,1,0.3453756409980997
1,cC,96.5,right,right,1,0.2307297389997984
2,dC,90.0,vertical,left,0,0.6149079819988401
2,uC,90.0,vertical,left,0,0.4230130280011508
2,cC,90.0,vertical,left,0,0.2688781739998376
1,uC,94.0,right,right,1,2.342003669000405
2,uC,90.0,vertical,left,0,0.4227905660009128
1,dC,93.0,right,left,0,0.5382374129985692
2,cC,90.0,vertical,left,0,0.2305209830010426
1,uC,93.0,right,left,0,0.3454991450016678
2,uC,90.0,vertical,left,0,0.5761309010013065
1,uC,93.5,right,right,1,0.6531149679976807
2,uC,90.0,vertical,left,0,0.3073512589980965
2,uC,90.0,vertical,left,0,0.3074312379976618
2,cC,90.0,vertical,left,0,0.3071346639990225
2,uC,90.0,vertical,left,0,0.3074264329989091
1,uC,93.0,right,left,0,0.3456937079972704
1,uC,93.5,right,right,1,0.537990765998984
2,uC,90.0,vertical,left,0,0.4996374389993434
1,cC,96.0,right,left,0,0.5763739220019488
1,cC,96.5,right,right,1,1.075032181997813
1,dC,93.5,right,right,1,0.383829054000671
