StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,dC,80.0,left,left,1,0.2686912419994769
1,uC,105.0,right,right,1,0.3070389929998782
1,uC,103.0,right,right,1,0.2686246769990248
1,uC,101.0,right,right,1,0.2687309239991009
2,uC,80.0,left,left,1,0.3073120299995935
1,cC,105.0,right,right,1,0.2687461790010275
2,cC,80.0,left,left,1,0.2686601000023074
2,cC,82.0,left,left,1,0.1922744989969942
2,dC,82.0,left,left,1,0.1539438599975256
2,dC,84.0,left,left,1,0.2690764180006227
1,dC,105.0,right,right,1,0.3840610370025388
1,uC,99.0,right,right,1,0.3069602319992555
1,uC,97.0,right,right,1,0.2688604789982492
1,uC,95.0,right,right,1,1.265671471002861
2,uC,82.0,left,left,1,0.2688194970032782
2,uC,84.0,left,left,1,0.5377625170003739
2,dC,86.0,left,left,1,0.3068026619985176
2,dC,88.0,left,left,1,1.61228449400005
2,uC,86.0,left,left,1,0.2306692399979511
1,cC,103.0,right,right,1,0.346142026999587
2,cC,84.0,left,left,1,0.4603952880024735
1,dC,103.0,right,right,1,0.422605695999664
1,dC,101.0,right,right,1,0.2304056650027633
1,uC,93.0,right,right,1,1.649827901001117
1,dC,99.0,right,right,1,0.2689105310018931
2,uC,88.0,left,left,1,0.4607609169979696
2,uC,90.0,vertical,left,0,2.110729599000479
2,cC,86.0,left,left,1,0.2684816850014613
2,cC,88.0,left,left,1,0.7677997190003225
1,uC,91.0,right,right,1,1.688769840999157
1,uC,89.0,left,right,0,1.994389134000812
1,cC,101.0,right,right,1,3.722038713000074
1,cC,99.0,right,right,1,0.7670953960005136
2,cC,90.0,vertical,left,0,0.3838102070003515
2,cC,90.0,vertical,left,0,0.3074263390008127
1,cC,97.0,right,left,0,0.5370689469964418
2,dC,90.0,vertical,left,0,0.3072231229998579
2,cC,90.0,vertical,left,0,0.2687323369973456
2,uC,90.0,vertical,left,0,0.8446418810017349
2,dC,90.0,vertical,left,0,0.384145255000476
2,cC,90.0,vertical,left,0,0.2688256559995352
1,uC,88.0,left,left,1,0.3454766100003326
1,cC,98.0,right,left,0,0.498714112000016
1,cC,99.0,right,left,0,0.3848378799993952
1,dC,97.0,right,right,1,0.3454895760005456
2,uC,90.0,vertical,left,0,1.037418030999106
2,cC,90.0,vertical,left,0,0.230267549999553
1,cC,100.0,right,left,0,0.4224368180002784
1,uC,89.0,left,left,1,0.2303938179975376
2,dC,90.0,vertical,left,0,0.3072579289982968
2,uC,90.0,vertical,left,0,0.192270251998707
1,dC,95.0,right,right,1,0.5764923930000805
1,dC,93.0,right,right,1,2.876882153999759
1,cC,101.0,right,right,1,0.1537693780010159
2,dC,90.0,vertical,right,0,1.765792555997905
2,dC,90.0,vertical,left,0,0.7291408050004975
2,dC,90.0,vertical,left,0,0.3840861749995383
1,uC,90.0,vertical,left,0,0.3841682380007114
2,dC,90.0,vertical,left,0,0.4604794469996705
1,uC,90.0,vertical,left,0,1.151619249998475
1,uC,90.0,vertical,left,0,0.4992896219991962
1,dC,91.0,right,left,0,1.535913913998229
1,cC,100.5,right,right,1,0.5374557599971013
2,uC,90.0,vertical,left,0,0.7286390530025528
1,dC,92.0,right,left,0,0.6144196159984858
1,cC,100.0,right,left,0,0.4607911029997922
1,dC,93.0,right,left,0,0.3460146919969702
1,cC,100.5,right,right,1,1.266529188000277
1,cC,100.0,right,left,0,0.3838152819989773
2,dC,90.0,vertical,left,0,0.4607019460017909
2,dC,90.0,vertical,left,0,0.4604732900006638
1,dC,94.0,right,left,0,0.191930933000549
2,dC,90.0,vertical,left,0,0.3073827209991578
2,dC,90.0,vertical,left,0,0.2305102979989897
1,cC,100.5,right,right,1,0.8830987979999918
1,dC,95.0,right,right,1,2.263438399000734
2,cC,90.0,vertical,left,0,0.1919373080017976
1,dC,94.5,right,left,0,2.533310413997242
2,cC,90.0,vertical,left,0,0.4606171629966411
1,uC,90.0,vertical,left,0,0.4606036730001506
2,dC,90.0,vertical,left,0,0.4220770299980359
2,uC,90.0,vertical,left,0,0.3454036100010853
2,uC,90.0,vertical,left,0,0.4987356689998705
1,dC,95.0,right,right,1,0.5756364400003804
2,uC,90.0,vertical,left,0,0.767573215001903
2,dC,90.0,vertical,left,0,0.3457188569991558
2,dC,90.0,vertical,left,0,0.6520269920001738
1,uC,90.0,vertical,left,0,0.2300633960003324
2,cC,90.0,vertical,left,0,0.2305016069985868
2,cC,90.0,vertical,left,0,0.1538085779975518
2,uC,90.0,vertical,left,0,0.3458401290008624
1,dC,94.5,right,right,1,0.1921086649999779
2,cC,90.0,vertical,left,0,0.4607366220006952
1,dC,94.0,right,left,0,0.1922349569977087
1,cC,100.0,right,right,1,1.113425567997183
1,cC,99.5,right,left,0,0.6905725599972357
1,uC,90.0,vertical,left,0,0.5374143640001421
1,dC,94.5,right,left,0,0.9206325190025382
2,cC,90.0,vertical,left,0,0.2305510600017442
2,uC,90.0,vertical,left,0,0.30729000899737
1,cC,100.0,right,right,1,1.573113910002576
2,cC,90.0,vertical,left,0,0.6525598170010198
1,dC,95.0,right,right,1,0.6914034579967847
2,dC,90.0,vertical,left,0,0.4609732919998351
2,cC,90.0,vertical,left,0,0.4615035179995175
1,uC,90.0,vertical,left,0,0.3843738089999533
2,uC,90.0,vertical,left,0,0.3459191020010621
1,cC,99.5,right,right,1,1.650161376001051
2,uC,90.0,vertical,left,0,0.6526380149989564
2,dC,90.0,vertical,left,0,0.2305788490011764
2,cC,90.0,vertical,left,0,0.8827103129988245
2,dC,90.0,vertical,left,0,0.2302131779979391
2,dC,90.0,vertical,left,0,0.3072652589980862
2,uC,90.0,vertical,left,0,0.192062366000755
1,uC,90.0,vertical,left,0,0.4988768340008392
2,cC,90.0,vertical,left,0,0.2308083579991944
1,dC,94.5,right,right,1,1.919189295000251
2,uC,90.0,vertical,left,0,0.3838421300024493
1,cC,99.0,right,right,1,1.074847543000942
1,uC,90.0,vertical,left,0,0.3844172069984779
2,cC,90.0,vertical,left,0,0.2687031009991188
2,dC,90.0,vertical,left,0,0.7294523989985464
1,uC,90.0,vertical,left,0,1.267372600999806
1,cC,98.5,right,left,0,2.188517203998344
1,dC,94.0,right,right,1,0.5376747469999827
1,uC,90.0,vertical,left,0,0.2304702980000002
2,cC,90.0,vertical,left,0,0.2688260089998948
2,uC,90.0,vertical,left,0,0.2305355179996695
1,cC,99.0,right,right,1,0.7295154729981732
1,uC,90.0,vertical,left,0,0.6523320550004428
2,uC,90.0,vertical,left,0,0.2686102980005671
1,cC,98.5,right,right,1,0.3458720670023467
2,uC,90.0,vertical,left,0,0.575976903000992
1,cC,98.0,right,left,0,0.4607866400001512
1,cC,98.5,right,right,1,0.4612509719991067
2,cC,90.0,vertical,left,0,0.3457303659997706
2,dC,90.0,vertical,left,0,0.2302363290000358
2,cC,90.0,vertical,left,0,0.4988327729988669
2,uC,90.0,vertical,left,0,0.6524096770008327
1,dC,93.5,right,right,1,0.729514491998998
1,dC,93.0,right,right,1,0.6521762480006146
2,uC,90.0,vertical,right,0,0.4610527839977294
1,dC,92.5,right,left,0,0.3837352330010617
1,uC,90.0,vertical,left,0,0.4604700170020806
1,dC,93.0,right,left,0,1.036531352998281
1,cC,98.0,right,right,1,0.4226647989999037
2,uC,90.0,vertical,left,0,0.2302784109997447
1,uC,90.0,vertical,left,0,0.3834511989989551
2,cC,90.0,vertical,left,0,0.38361476800128
1,dC,93.5,right,left,0,0.9596575750001648
1,cF1,105.0,right,right,1,6.25350099800562
1,cN1,105.0,right,right,1,0.4222716380027123
2,cF1,80.0,left,left,1,0.1918921650067205
1,cF1,103.0,right,right,1,0.1918174070015084
1,cF1,101.0,right,left,0,0.5368219310039422
1,cN1,103.0,right,right,1,0.2686852109909523
1,cF1,102.0,right,right,1,0.230072985010338
2,cN1,80.0,left,left,1,0.5751175420009531
2,cF1,82.0,left,left,1,13.42608735901013
2,cF1,84.0,left,left,1,0.9204762619920075
1,cF1,101.0,right,right,1,0.3834812010027235
2,cN1,82.0,left,left,1,0.1917738219926832
1,cF1,100.0,right,right,1,0.5763867180066882
1,cN1,101.0,right,right,1,0.3070286809961544
2,cF1,86.0,left,left,1,0.345181334996596
2,cN1,84.0,left,left,1,0.2302080590015976
2,cN1,86.0,left,left,1,0.1916519320075167
1,cN1,99.0,right,right,1,0.3072802800015779
2,cN1,88.0,left,left,1,0.2301015680131968
1,cN1,97.0,right,left,0,0.4219484990026103
1,cN1,98.0,right,left,0,0.6136736269982066
2,cN1,90.0,vertical,left,0,0.3456054010021035
1,cN1,99.0,right,right,1,0.2686469519976526
1,cF1,99.0,right,right,1,0.3071084209950641
1,cN1,98.5,right,right,1,0.2687703639967367
1,cF1,98.0,right,right,1,0.2302280279982369
2,cN1,90.0,vertical,left,0,0.2302183470019372
2,cF1,88.0,left,left,1,0.191746011012583
1,cF1,97.0,right,left,0,0.5373180890019285
2,cF1,90.0,vertical,left,0,0.4218954240059247
1,cF1,97.5,right,right,1,1.035584082012065
1,cN1,98.0,right,right,1,0.8825409959972603
1,cF1,97.0,right,left,0,1.228597616995103
2,cF1,90.0,vertical,left,0,0.345333675009897
1,cF1,97.5,right,left,0,0.2685378040041542
2,cF1,90.0,vertical,left,0,0.3458773259917507
1,cF1,98.0,right,right,1,0.3835239000036381
1,cN1,97.5,right,right,1,0.3071557060029591
1,cF1,97.5,right,right,1,2.072861702006776
2,cN1,90.0,vertical,left,0,0.3457619170076214
1,cF1,97.0,right,left,0,0.4604806729912525
1,cN1,97.0,right,right,1,0.268688142998144
2,cF1,90.0,vertical,left,0,0.3839812260121107
1,cN1,96.5,right,right,1,0.3453070949908579
2,cN1,90.0,vertical,left,0,0.4603255239926511
1,cN1,96.0,right,left,0,0.7295688080048421
2,cN1,90.0,vertical,left,0,0.3839403669990133
1,cF1,97.5,right,right,1,0.4986003149970202
1,cN1,96.5,right,right,1,0.3454632680077339
2,cF1,90.0,vertical,left,0,0.5367708470002981
1,cF1,97.0,right,right,1,0.5366516030044295
2,cF1,90.0,vertical,left,0,0.3841871719923802
2,cF1,90.0,vertical,left,0,0.4600921280070907
2,cF1,90.0,vertical,left,0,0.3452450140030123
2,cN1,90.0,vertical,left,0,0.3072124119935324
1,cN1,96.0,right,left,0,0.3064697469962994
1,cN1,96.5,right,right,1,1.1893124920025
2,cF1,90.0,vertical,left,0,0.3840216990065528
1,cF1,96.5,right,right,1,0.383700211008545
2,cF1,90.0,vertical,left,0,0.2303154260007432
2,cF1,90.0,vertical,left,0,0.2304570120031713
1,cF1,96.0,right,left,0,0.3451169750042027
2,cF1,90.0,vertical,left,0,0.2683600769960321
1,cN1,96.0,right,right,1,0.3072078609984601
2,cF1,90.0,vertical,left,0,0.2682163179997588
2,cF1,90.0,vertical,left,0,0.268750134986476
2,cN1,90.0,vertical,left,0,0.2686142409947934
1,cN1,95.5,right,right,1,0.2307096180011285
2,cN1,90.0,vertical,left,0,0.4221068009937881
2,cN1,90.0,vertical,left,0,0.1923760909994598
2,cN1,90.0,vertical,left,0,0.3453655439952854
1,cN1,95.0,right,right,1,0.6746690680010943
2,cN1,90.0,vertical,left,0,0.1919205459998921
1,cF1,96.5,right,right,1,0.4603856659960002
2,cN1,90.0,vertical,left,0,0.3452552090020617
2,cF1,90.0,vertical,left,0,0.3073452140088193
1,cF1,96.0,right,left,0,0.2689219580061035
2,cF1,90.0,vertical,left,0,0.2308636579982704
1,cF1,96.5,right,left,0,0.4603167589957593
1,cF1,97.0,right,left,0,0.4601006070006406
1,cN1,94.5,right,left,0,0.2301518820022466
2,cF1,90.0,vertical,left,0,0.2685917589988094
1,cN1,95.0,right,left,0,0.4988757910032291
2,cF1,90.0,vertical,left,0,0.3838898039975902
2,cN1,90.0,vertical,left,0,0.9209381039981963
1,cF1,97.5,right,left,0,0.383347187002073
1,cN1,95.5,right,left,0,1.980030816994258
1,cN1,96.0,right,right,1,0.2688112200121395
1,cN1,95.5,right,left,0,0.3072788409917848
