StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,dC,105.0,right,right,1,0.0002414350165054202
2,dC,80.0,left,left,1,0.3459500289754942
1,uC,105.0,right,right,1,0.5381688950001262
2,dC,82.0,left,left,1,0.4231417220435105
2,cC,80.0,left,left,1,0.4225364429876208
1,cC,105.0,right,right,1,0.4226444980013184
1,dC,103.0,right,right,1,0.6145135449478403
2,cC,82.0,left,left,1,0.3071123400004581
2,dC,84.0,left,left,1,0.4226210930501111
1,uC,103.0,right,right,1,0.4222031030221842
2,cC,84.0,left,left,1,0.2302436180179939
1,dC,101.0,right,right,1,0.4226388319511898
2,uC,80.0,left,left,1,0.3839391620131209
1,uC,101.0,right,right,1,0.4991117670433596
2,dC,86.0,left,left,1,0.2305381100159138
1,cC,103.0,right,right,1,0.3838330690050498
2,uC,82.0,left,left,1,0.3071975280181505
2,uC,84.0,left,left,1,0.3840343939955346
2,cC,86.0,left,left,1,0.9212582900072448
1,dC,99.0,right,right,1,0.4993274559965357
1,dC,97.0,right,right,1,0.4229281279840507
1,cC,101.0,right,right,1,0.3454122950206511
2,uC,86.0,left,left,1,0.3839572609867901
1,dC,95.0,right,right,1,0.422573458054103
2,uC,88.0,left,left,1,0.3072464209981263
2,dC,88.0,left,left,1,0.5377046369831078
1,dC,93.0,right,right,1,0.3837575509678572
1,cC,99.0,right,right,1,0.3837860930361785
2,uC,90.0,vertical,right,0,1.612620719999541
2,dC,90.0,vertical,left,0,0.3845842299633659
1,dC,91.0,right,left,0,0.4994734250358306
2,dC,90.0,vertical,right,0,1.382018743024673
2,uC,90.0,vertical,right,0,0.9976541939540766
2,cC,88.0,left,left,1,0.3841430880129337
2,cC,90.0,vertical,left,0,0.4604193220147863
2,uC,90.0,vertical,right,0,1.688461057958193
1,cC,97.0,right,left,0,0.345665808999911
2,uC,90.0,vertical,right,0,1.381526637007482
2,uC,90.0,vertical,right,0,1.304412264958955
2,cC,90.0,vertical,left,0,0.4222181719960645
1,uC,99.0,right,right,1,0.1921924639609642
1,uC,97.0,right,right,1,0.3843550679739565
1,uC,95.0,right,right,1,0.5757647900027223
1,uC,93.0,right,right,1,0.5371932769776322
1,dC,92.0,right,right,1,0.9977573640062474
1,cC,98.0,right,right,1,2.341979351011105
1,uC,91.0,right,right,1,0.8064073720015585
2,cC,90.0,vertical,left,0,0.2689295160234906
1,dC,91.0,right,right,1,0.6530528570292518
1,cC,97.0,right,left,0,0.4610950910137035
2,dC,90.0,vertical,left,0,0.9215484149754047
2,uC,90.0,vertical,left,0,0.8822655089898035
1,uC,89.0,left,left,1,0.269187989004422
2,dC,90.0,vertical,left,0,1.113776917976793
2,cC,90.0,vertical,left,0,0.3070969089749269
1,cC,97.5,right,right,1,0.5218290839693509
2,dC,90.0,vertical,right,0,1.535014704975765
1,uC,91.0,right,right,1,1.727538570994511
1,uC,89.0,left,left,1,0.1919774009729736
2,dC,90.0,vertical,right,0,1.688921300985385
1,uC,91.0,right,right,1,0.9207870959653519
2,cC,90.0,vertical,left,0,0.2302300879964605
2,uC,90.0,vertical,left,0,0.3454925960395485
1,dC,90.0,vertical,left,0,0.307077162025962
1,uC,89.0,left,left,1,0.3456644209800288
2,cC,90.0,vertical,left,0,0.2690445929765701
1,uC,91.0,right,left,0,1.074755585985258
2,dC,90.0,vertical,right,0,1.189726409036666
2,uC,90.0,vertical,left,0,1.18963136698585
1,uC,92.0,right,right,1,0.652814912959002
1,uC,91.0,right,left,0,0.2685679590213113
2,uC,90.0,vertical,left,0,0.3073962940252386
1,dC,90.0,vertical,right,0,0.9980291259707883
1,dC,90.0,vertical,right,0,0.9977763580391183
1,dC,90.0,vertical,right,0,0.7288737359922379
1,dC,90.0,vertical,right,0,0.6530010839924216
2,dC,90.0,vertical,left,0,0.5373489769990556
1,dC,90.0,vertical,left,0,0.7673299469752237
