StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,uC,105.0,right,right,1,1.228742425038945
2,cN1,80.0,left,left,1,0.2302566979778931
1,uC,103.0,right,right,1,0.1152904430055059
1,uC,101.0,right,right,1,0.7677619329770096
1,cC,105.0,right,right,1,0.3836303140269592
1,cF1,105.0,right,right,1,0.1154165280167945
1,dC,105.0,right,right,1,0.2307603509980254
2,uC,80.0,left,left,1,0.2304744439898059
2,uC,82.0,left,left,1,0.307105889020022
1,cF1,103.0,right,right,1,0.192132361989934
1,cN1,105.0,right,right,1,0.1539018139592372
2,cF1,80.0,left,left,1,0.2302540469681844
1,cC,103.0,right,right,1,0.1536532720201649
1,cF1,101.0,right,right,1,0.1537315209861845
1,dC,103.0,right,right,1,0.1918692959588952
2,cC,80.0,left,left,1,0.153653529996518
1,cF1,99.0,right,right,1,0.1921067339717411
1,dC,101.0,right,right,1,0.1918057749862783
2,cF1,82.0,left,left,1,0.230393951991573
1,cC,101.0,right,right,1,0.1539165049907751
1,cC,99.0,right,right,1,0.192134641984012
1,cF1,97.0,right,right,1,0.1917366230045445
1,dC,99.0,right,right,1,0.176556384016294
1,uC,99.0,right,right,1,0.5758808089885861
2,cN1,82.0,left,left,1,0.1538522449554875
2,cN1,84.0,left,left,1,0.1919487839913927
2,uC,84.0,left,left,1,0.269295523990877
2,cN1,86.0,left,left,1,0.1535805909661576
1,cN1,103.0,right,right,1,0.1919834690052085
2,cN1,88.0,left,left,1,2.03406623902265
1,cN1,101.0,right,right,1,0.2303597019636072
2,cN1,90.0,vertical,left,0,1.764663529989775
2,uC,86.0,left,left,1,0.3452067619655281
1,cF1,95.0,right,right,1,0.307400759018492
1,uC,97.0,right,right,1,0.4993890959885903
1,cN1,99.0,right,right,1,0.3841937980032526
2,cF1,84.0,left,left,1,0.3840880690258928
2,uC,88.0,left,left,1,0.4986415900057182
1,dC,97.0,right,right,1,0.2304046879871748
2,dC,80.0,left,left,1,0.3835308999987319
2,cC,82.0,left,left,1,0.1921754679642618
1,cN1,97.0,right,right,1,0.2300986709888093
2,cF1,86.0,left,left,1,0.5754767070175149
1,dC,95.0,right,left,0,1.595347892027348
1,uC,95.0,right,right,1,0.3067806600010954
2,cN1,90.0,vertical,left,0,0.3456789350020699
1,cF1,93.0,right,left,0,1.074486367986538
1,uC,93.0,right,right,1,0.3835346519481391
1,dC,96.0,right,right,1,0.3072860169922933
1,cC,97.0,right,right,1,0.1923566989717074
2,dC,82.0,left,left,1,0.3067867350182496
2,cN1,90.0,vertical,left,0,0.5759981779847294
2,cF1,88.0,left,left,1,0.6913579200045206
1,cN1,95.0,right,right,1,0.2302710679941811
1,cN1,93.0,right,right,1,0.4992967100115493
2,uC,90.0,vertical,left,0,1.075672171020415
1,dC,95.0,right,right,1,0.2685015349998139
1,cN1,91.0,right,right,1,0.4608023129985668
2,cN1,90.0,vertical,left,0,0.4988591449800879
1,cN1,89.0,left,left,1,0.42229579098057
2,dC,84.0,left,left,1,0.268560936965514
1,uC,91.0,right,right,1,0.4992633169749752
2,dC,86.0,left,left,1,0.2304703969857655
2,cC,84.0,left,left,1,0.1919844389776699
1,cN1,91.0,right,right,1,0.2305615220102482
1,cC,95.0,right,right,1,0.4605137649923563
1,cC,93.0,right,right,1,0.3456527570378967
1,cC,91.0,right,right,1,0.6901144810253754
2,dC,88.0,left,left,1,0.2304076129803434
2,dC,90.0,vertical,left,0,0.4607264649821445
2,dC,90.0,vertical,left,0,0.4606976190116256
1,uC,89.0,left,left,1,0.2307076140423305
2,cN1,90.0,vertical,right,0,0.8823799499659799
1,cF1,94.0,right,right,1,0.3836479610181414
1,dC,94.0,right,right,1,0.4988623560057022
1,cN1,89.0,left,right,0,0.460637443989981
2,cN1,90.0,vertical,right,0,0.2306604650220834
2,uC,90.0,vertical,right,0,0.4992856140015647
2,cF1,90.0,vertical,left,0,0.4987138920114376
1,cF1,93.0,right,right,1,0.3070693119661883
1,dC,93.0,right,right,1,0.5374997640028596
1,cC,89.0,left,left,1,0.3456975339795463
1,cC,91.0,right,left,0,1.22829423903022
2,cC,86.0,left,left,1,0.4219250620226376
2,cN1,90.0,vertical,right,0,0.384215525991749
2,cN1,90.0,vertical,left,0,0.9212121730088256
2,uC,90.0,vertical,left,0,0.9597840839996934
2,dC,90.0,vertical,left,0,0.5377463799668476
1,uC,91.0,right,left,0,0.4994684500270523
1,cC,92.0,right,left,0,0.5377001060405746
2,cC,88.0,left,left,1,0.4223008639528416
1,cF1,92.0,right,right,1,0.3068566640140489
2,uC,90.0,vertical,right,0,0.8828720529563725
2,cC,90.0,vertical,right,0,0.4606550990138203
2,uC,90.0,vertical,left,0,0.7290211509680375
2,cC,90.0,vertical,right,0,0.1921050029923208
2,cC,90.0,vertical,right,0,0.4224806349957362
2,cF1,90.0,vertical,left,0,0.8435699630063027
2,cC,90.0,vertical,left,0,0.3070863809552975
1,cN1,88.0,left,left,1,0.2685358030139469
2,cN1,90.0,vertical,left,0,0.9589262229856104
1,uC,92.0,right,right,1,0.6912698770174757
2,dC,90.0,vertical,left,0,0.4609107780270278
2,dC,90.0,vertical,left,0,0.652834854030516
1,uC,91.0,right,right,1,0.384007936983835
2,uC,90.0,vertical,left,0,0.383754106995184
1,cN1,89.0,left,right,0,2.247324043011758
1,cF1,91.0,right,right,1,0.6144517560023814
1,cC,93.0,right,right,1,0.4606224310118705
1,cF1,90.0,vertical,right,0,0.6918953870190307
1,cF1,90.0,vertical,right,0,0.3072728620027192
