StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cC,105.0,right,right,1,3.607461492007133
1,uC,105.0,right,right,1,0.5755393170111347
1,uC,103.0,right,right,1,0.3837696859845892
1,cC,103.0,right,right,1,2.839589987008367
2,dC,80.0,left,left,1,0.7295736050000414
1,uC,101.0,right,right,1,0.5759747470146976
2,dC,82.0,left,left,1,0.6535579520277679
2,dC,84.0,left,left,1,0.3457700140133966
1,cC,101.0,right,left,0,1.573733562981943
1,uC,99.0,right,right,1,0.4989131180045661
2,dC,86.0,left,left,1,0.5370524549798574
2,cC,80.0,left,left,1,0.6138030359870754
1,dC,105.0,right,right,1,0.3455522250151262
1,cC,102.0,right,left,0,1.99484578697593
1,uC,97.0,right,right,1,0.5375173559878021
1,uC,95.0,right,right,1,0.8451554860221222
2,dC,88.0,left,left,1,0.5766873410029802
2,cC,82.0,left,left,1,1.113581058976706
2,uC,80.0,left,left,1,0.537517671007663
2,cC,84.0,left,left,1,0.7291733149904758
2,cC,86.0,left,left,1,0.8828134339710232
1,uC,93.0,right,right,1,0.8060413540224545
1,uC,91.0,right,left,0,0.3456498900195584
2,dC,90.0,vertical,left,0,0.4605247619911097
2,cC,88.0,left,left,1,2.611392963008257
1,uC,92.0,right,left,0,0.6906387959897984
1,cC,103.0,right,right,1,1.574298104998888
2,cC,90.0,vertical,left,0,0.6907611720089335
2,cC,90.0,vertical,left,0,0.5371969020052347
1,cC,102.5,right,left,0,1.534865877998527
1,cC,103.0,right,right,1,4.988866443978623
2,dC,90.0,vertical,left,0,0.8443056830146816
2,dC,90.0,vertical,left,0,0.5763691759784706
1,uC,93.0,right,left,0,0.5765239349857438
2,uC,82.0,left,left,1,0.3460903750092257
1,cC,102.5,right,left,0,0.8070101580233313
1,cC,103.0,right,right,1,3.032391360990005
2,uC,84.0,left,left,1,0.4224421200051438
1,dC,103.0,right,right,1,0.3842200759972911
2,dC,90.0,vertical,left,0,0.4609203230065759
1,cC,102.5,right,right,1,1.458573064010125
2,cC,90.0,vertical,left,0,0.6146153429872356
1,uC,94.0,right,right,1,0.5762742570077535
1,dC,101.0,right,right,1,0.575911174993962
1,uC,93.5,right,right,1,0.7669390320079401
1,cC,102.0,right,left,0,0.8826538400026038
1,uC,93.0,right,right,1,0.4993015110085253
1,uC,92.5,right,right,1,1.036774117994355
2,uC,86.0,left,left,1,0.3455098110134713
2,cC,90.0,vertical,left,0,0.7681659120135009
1,uC,92.0,right,left,0,0.6141106380091514
2,uC,88.0,left,left,1,0.7303090970090125
1,dC,99.0,right,right,1,0.422945508005796
1,dC,97.0,right,right,1,0.5374917089939117
2,dC,90.0,vertical,left,0,1.381140208017314
1,cC,102.5,right,right,1,2.149935977009591
1,dC,95.0,right,right,1,0.8450739099935163
2,cC,90.0,vertical,left,0,1.57365301399841
2,dC,90.0,vertical,left,0,0.9596410280209966
2,dC,90.0,vertical,left,0,0.4224478749965783
1,uC,92.5,right,left,0,0.9598421769915149
2,dC,90.0,vertical,left,0,0.4612215179949999
1,cC,102.0,right,right,1,2.91739413398318
2,dC,90.0,vertical,left,0,0.5375985919963568
1,uC,93.0,right,left,0,0.7295534129953012
2,dC,90.0,vertical,left,0,0.4227659339958336
1,dC,93.0,right,left,0,0.5763916909927502
2,uC,90.0,vertical,left,0,0.6532469889789354
1,cC,101.5,right,left,0,1.690183416008949
2,cC,90.0,vertical,left,0,1.112785958976019
1,dC,94.0,right,right,1,0.9598952429951169
1,dC,93.0,right,right,1,0.9214442410157062
2,cC,90.0,vertical,left,0,0.8830751279892866
2,uC,90.0,vertical,left,0,0.8833681730029639
1,dC,92.0,right,left,0,0.499049839010695
2,uC,90.0,vertical,left,0,0.3454514869954437
1,dC,92.5,right,right,1,0.6525480939890258
1,dC,92.0,right,left,0,1.343549546989379
1,uC,93.5,right,right,1,0.7681817729899194
1,uC,93.0,right,left,0,1.036969601002056
1,cC,102.0,right,left,0,0.8067872929968871
1,cC,102.5,right,left,0,2.685581825993722
2,dC,90.0,vertical,left,0,0.575661159993615
