StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cC,105.0,right,right,1,0.4993039880000651
2,cF1,80.0,left,left,1,0.1921619400000054
2,cN1,80.0,left,left,1,0.1534923859999253
1,cC,103.0,right,right,1,0.2306596930002343
1,uC,105.0,right,right,1,0.1537443909996909
2,cC,80.0,left,left,1,0.1154626150000695
1,dC,105.0,right,right,1,0.1152463190001072
1,dC,103.0,right,right,1,0.0001761590001478908
1,cF1,105.0,right,right,1,0.1150893610001731
2,cN1,82.0,left,left,1,0.2301510119996237
1,cF1,103.0,right,right,1,0.23061547899988
1,cC,101.0,right,right,1,0.1152908570002182
1,cF1,101.0,right,right,1,0.1154096000000209
2,cN1,84.0,left,left,1,0.03873955500012016
2,cC,82.0,left,right,0,0.1536714600001687
1,dC,101.0,right,right,1,0.2687178510000194
2,uC,80.0,left,left,1,0.1918628459998217
1,dC,99.0,right,right,1,0.1922370649999721
2,cC,81.0,left,left,1,0.2304482959998495
1,dC,97.0,right,right,1,0.2690798520002318
2,uC,82.0,left,left,1,0.2688863080002193
1,uC,103.0,right,right,1,0.1535726279998926
1,uC,101.0,right,right,1,0.192204189000222
2,uC,84.0,left,left,1,0.1535131300001922
2,dC,80.0,left,left,1,0.2302279890000136
2,uC,86.0,left,left,1,0.2686616679998224
1,cF1,99.0,right,right,1,0.2302917580000212
1,dC,95.0,right,right,1,0.1535492050002176
1,uC,99.0,right,right,1,0.1920943640002406
2,cN1,86.0,left,left,1,0.3069291080000767
2,cC,82.0,left,left,1,0.2305341940000289
1,cC,99.0,right,right,1,0.3073623899999802
1,dC,93.0,right,right,1,0.1920511450002778
1,dC,91.0,right,right,1,0.2685544959999788
1,cC,97.0,right,right,1,0.2305923260000782
2,uC,88.0,left,left,1,0.3073290369998176
2,cC,83.0,left,left,1,0.1919899569998051
1,cN1,105.0,right,right,1,0.1925500669999565
1,dC,89.0,left,left,1,0.2303233679999721
2,dC,82.0,left,left,1,0.1151839750000363
1,uC,97.0,right,right,1,0.2301523049995922
2,dC,84.0,left,left,1,0.3072979970002052
1,dC,91.0,right,right,1,0.3456145660002221
1,cN1,103.0,right,right,1,0.2687125299999025
1,cC,95.0,right,right,1,0.1536860380001599
2,cN1,88.0,left,left,1,0.2689539130001322
2,uC,90.0,vertical,left,0,0.345881035000275
2,cC,84.0,left,left,1,0.269088727000053
2,cF1,82.0,left,left,1,0.230859885999962
2,cN1,90.0,vertical,left,0,0.1152318350000314
1,cN1,101.0,right,right,1,0.2685932780000257
2,cN1,90.0,vertical,left,0,0.2304178640001737
1,cN1,99.0,right,right,1,0.2304634430001897
2,cC,85.0,left,left,1,0.2307836519999
1,dC,89.0,left,left,1,0.5374172760002693
1,uC,95.0,right,right,1,0.1539597219998541
1,cF1,97.0,right,right,1,0.1919722319998982
1,cN1,97.0,right,left,0,0.2301045809999778
2,cF1,84.0,left,left,1,0.3455305920001592
2,cN1,90.0,vertical,left,0,0.6139204809996954
1,dC,91.0,right,right,1,0.3842169709996597
2,uC,90.0,vertical,left,0,0.2686578799998642
2,uC,90.0,vertical,left,0,0.2302044799998839
2,cC,86.0,left,left,1,0.268967435000377
1,uC,93.0,right,right,1,0.2304484510000293
2,cN1,90.0,vertical,left,0,0.2686939529999108
1,cC,93.0,right,right,1,0.4218472120001024
1,cC,91.0,right,left,0,0.2689477349999834
1,uC,91.0,right,left,0,0.2690598069998487
2,cC,87.0,left,left,1,0.2305752700003723
1,cN1,98.0,right,right,1,0.3834558270000343
1,cN1,97.0,right,right,1,0.2686996839997846
2,cF1,86.0,left,left,1,0.2305061480001314
2,uC,90.0,vertical,left,0,0.1920464439999705
1,uC,92.0,right,left,0,0.4990412090000973
2,dC,86.0,left,left,1,0.3066842910002379
2,dC,88.0,left,left,1,0.1922526120001748
2,cN1,90.0,vertical,left,0,0.1921401009999499
2,cF1,88.0,left,left,1,0.2305841259999397
2,cF1,90.0,vertical,left,0,0.2688644830000158
2,dC,90.0,vertical,left,0,0.1920866729997215
1,cF1,95.0,right,right,1,0.2304815460001919
2,uC,90.0,vertical,left,0,0.3071929480001927
1,dC,89.0,left,left,1,0.1917361099999653
2,dC,90.0,vertical,left,0,0.1923069509998641
2,dC,90.0,vertical,left,0,0.2687774099999842
2,cF1,90.0,vertical,left,0,0.345911050000268
1,dC,91.0,right,left,0,0.1152539280001292
1,dC,92.0,right,left,0,0.1923346789999414
2,cF1,90.0,vertical,left,0,0.1535761659997661
1,dC,93.0,right,right,1,0.4224615439998161
2,cC,88.0,left,left,1,0.2305738700001712
1,cN1,96.0,right,right,1,0.3071717889997672
1,cF1,93.0,right,right,1,0.1538450030002423
2,uC,90.0,vertical,left,0,0.3072275949998584
2,dC,90.0,vertical,left,0,0.1151701320000029
1,cF1,91.0,right,left,0,0.0768258620000779
2,cC,89.0,left,right,0,0.1919383379999999
1,cF1,92.0,right,right,1,0.2306483980000849
1,cN1,95.0,right,left,0,0.4220804289998341
2,cC,88.5,left,left,1,0.1539022849997309
2,cN1,90.0,vertical,left,0,0.1536236450001525
1,uC,93.0,right,right,1,0.4224103149999792
2,uC,90.0,vertical,left,0,0.307374584000172
2,cC,89.0,left,left,1,0.1536252920000152
2,cN1,90.0,vertical,left,0,0.1920700509999733
1,cN1,95.5,right,right,1,0.2301668059999429
1,uC,92.5,right,right,1,0.1538548940002329
1,cF1,91.0,right,right,1,0.3074940629999219
2,cF1,90.0,vertical,right,0,0.3840578790000109
1,cN1,95.0,right,right,1,0.3069865960001152
1,uC,92.0,right,right,1,0.2303528710003775
1,uC,91.5,right,right,1,0.3072759550000228
1,cF1,90.0,vertical,left,0,0.3457641909999438
2,uC,90.0,vertical,left,0,0.1921676229999321
2,uC,90.0,vertical,left,0,0.3069886399998722
2,uC,90.0,vertical,left,0,0.4224135819999901
2,dC,90.0,vertical,right,0,0.8441413419996024
2,cF1,90.0,vertical,left,0,0.2689442719997714
1,cC,92.0,right,left,0,0.1152585949998866
2,cF1,90.0,vertical,left,0,0.3454440639998211
2,cN1,90.0,vertical,left,0,0.03871343299988439
1,dC,92.5,right,right,1,0.384011356999963
1,cF1,90.0,vertical,right,0,0.1538388399999349
1,uC,91.0,right,left,0,0.1921179569999367
1,cN1,94.5,right,left,0,0.0002159319997190323
2,cC,89.5,left,left,1,0.1919647479999185
2,cN1,90.0,vertical,left,0,0.1921618810001746
2,cF1,90.0,vertical,left,0,0.1153110699997342
2,dC,90.0,vertical,left,0,0.03862815699994826
2,cN1,90.0,vertical,left,0,0.1152413109998633
2,cC,90.0,vertical,left,0,0.1535393620001742
2,cF1,90.0,vertical,left,0,0.3454467920000752
1,cF1,90.0,vertical,left,0,0.1918812320000143
