StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,dC,105.0,right,right,1,0.2686001940001006
2,cC,80.0,left,left,1,0.1536085699990508
2,dC,80.0,left,left,1,0.1536865739999485
1,cC,105.0,right,right,1,1.802333485000418
2,uC,80.0,left,left,1,0.1919667170004686
2,cC,82.0,left,left,1,0.19188289199883
1,uC,105.0,right,right,1,0.2688797770006204
2,uC,82.0,left,left,1,0.1535473029998684
2,dC,82.0,left,left,1,0.3072915529992315
1,cC,103.0,right,right,1,0.2306990460001543
1,dC,103.0,right,right,1,0.2688185070001055
2,uC,84.0,left,left,1,0.2685149650005769
1,dC,101.0,right,right,1,0.1919209399984538
1,uC,103.0,right,right,1,0.2689108949998626
2,cC,84.0,left,left,1,0.2302305989996967
1,dC,99.0,right,right,1,0.4220806539997284
2,dC,84.0,left,left,1,0.1536591969997971
2,dC,86.0,left,left,1,0.3458364039997832
2,uC,86.0,left,left,1,0.2690263979984593
2,uC,88.0,left,left,1,0.192028229999778
1,dC,97.0,right,right,1,0.4993346899991593
2,cC,86.0,left,left,1,0.3453361949996179
2,cC,88.0,left,left,1,0.4225472340003762
2,uC,90.0,vertical,left,0,0.3457379759984178
1,dC,95.0,right,right,1,0.3074601829994208
2,cC,90.0,vertical,left,0,0.1539276500006963
1,dC,93.0,right,right,1,0.3297074820002308
1,dC,91.0,right,right,1,0.192063230999338
2,uC,90.0,vertical,left,0,0.7684228670004813
1,cC,101.0,right,right,1,0.1537531719986873
2,uC,90.0,vertical,left,0,0.6909437169997545
2,dC,88.0,left,left,1,0.3456267809997371
2,cC,90.0,vertical,left,0,0.2300961190012458
1,dC,89.0,left,left,1,0.3452844929997809
1,cC,99.0,right,right,1,0.2685588160002226
1,uC,101.0,right,right,1,0.2689667100003135
2,cC,90.0,vertical,left,0,0.1919457879994297
1,uC,99.0,right,right,1,0.3838687629995547
2,dC,90.0,vertical,left,0,0.3456134860007296
2,dC,90.0,vertical,left,0,0.3070866870002646
1,uC,97.0,right,right,1,0.3069224430000759
1,cC,97.0,right,right,1,0.4223818139998912
2,uC,90.0,vertical,right,0,1.68986482299988
1,cC,95.0,right,right,1,0.7293018750006013
2,cC,90.0,vertical,left,0,0.4226567819987395
1,dC,91.0,right,right,1,0.6139433879998251
2,uC,90.0,vertical,right,0,0.3454638290004368
2,uC,90.0,vertical,right,0,0.3456615989998681
1,cC,93.0,right,left,0,1.45847169100125
1,uC,95.0,right,right,1,0.3455264059994079
2,uC,90.0,vertical,left,0,0.4227620100009517
1,cC,94.0,right,left,0,0.9976780670003791
2,uC,90.0,vertical,left,0,1.458000828000877
2,cC,90.0,vertical,left,0,0.8822993399990082
2,uC,90.0,vertical,right,0,0.6912421520009957
2,uC,90.0,vertical,left,0,0.8826312629989843
1,cC,95.0,right,left,0,1.496163189000072
1,uC,93.0,right,right,1,0.4607731779997266
1,uC,91.0,right,left,0,0.4991429700003209
1,cC,96.0,right,right,1,0.9596806779991311
1,cC,95.5,right,right,1,0.4996961140004714
1,dC,89.0,left,left,1,0.3453528890004236
1,dC,91.0,right,left,0,0.883022661000723
2,dC,90.0,vertical,left,0,0.575292902000001
2,dC,90.0,vertical,left,0,0.6146684750001441
1,dC,92.0,right,left,0,0.5758133500003169
2,cC,90.0,vertical,left,0,0.4224885980002
1,uC,92.0,right,right,1,0.4218192919997819
2,dC,90.0,vertical,left,0,0.9583111550000467
1,uC,91.0,right,right,1,0.3838439939991076
1,cC,95.0,right,right,1,0.7672413000000233
2,cC,90.0,vertical,left,0,0.6522309049996693
2,cC,90.0,vertical,left,0,0.5372176529999706
1,dC,93.0,right,right,1,0.3457219510000868
1,cC,94.5,right,right,1,0.230323154000871
2,dC,90.0,vertical,right,0,0.9598537769998075
1,uC,90.0,vertical,right,0,0.7294024089987943
2,uC,90.0,vertical,left,0,0.3462046599997848
1,cC,94.0,right,right,1,0.768086129999574
1,uC,90.0,vertical,left,0,0.4224405489985656
1,uC,90.0,vertical,right,0,0.4608083740004076
1,dC,92.5,right,right,1,0.3836613459989167
1,dC,92.0,right,right,1,0.3836722949999967
2,dC,90.0,vertical,left,0,0.6902787809995061
2,cC,90.0,vertical,left,0,0.5370708490008838
1,uC,90.0,vertical,left,0,0.537020162000772
2,uC,90.0,vertical,left,0,0.4221189110012347
2,dC,90.0,vertical,left,0,0.5371764709998388
1,dC,91.5,right,right,1,2.494867911000256
2,cC,90.0,vertical,left,0,0.3071918309997272
2,uC,90.0,vertical,left,0,1.074465929001235
1,cC,93.5,right,right,1,0.38379087300018
1,cC,93.0,right,left,0,1.633754560001762
1,uC,90.0,vertical,left,0,0.8055590069998289
1,dC,91.0,right,left,0,0.5368976919999113
1,uC,90.0,vertical,right,0,0.6526017159994808
2,dC,90.0,vertical,left,0,1.228664773001583
2,uC,90.0,vertical,right,0,0.4985167029990407
2,dC,90.0,vertical,left,0,0.4609101100013504
1,dC,91.5,right,left,0,0.5370351450001181
2,cC,90.0,vertical,left,0,0.2689827340000193
1,uC,90.0,vertical,right,0,0.8069182559993351
1,uC,90.0,vertical,left,0,1.189314768000258
1,dC,92.0,right,right,1,0.2687828580001224
1,uC,90.0,vertical,right,0,0.4606472380000923
1,dC,91.5,right,right,1,0.268834202999642
1,uC,90.0,vertical,right,0,1.151631423999788
1,dC,91.0,right,right,1,0.4224811240001145
2,uC,90.0,vertical,right,0,1.381157862999316
