StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,cN1,80.0,left,left,1,0.9225533230019209
1,uC,105.0,right,right,1,0.2690668909999658
1,cF1,105.0,right,right,1,0.3839902010004153
1,cF1,103.0,right,right,1,0.3457910110009834
2,cN1,82.0,left,left,1,0.3072008259987342
2,cC,80.0,left,left,1,0.3073518359997252
2,cC,82.0,left,left,1,0.3460527909992379
1,dC,105.0,right,right,1,0.3074219729969627
1,cC,105.0,right,right,1,0.3456367770013458
2,dC,80.0,left,left,1,0.2311228440012201
1,cF1,101.0,right,right,1,0.3842259359989839
2,cN1,84.0,left,left,1,0.2305141830001958
2,cN1,86.0,left,left,1,0.3076229789985518
1,dC,103.0,right,right,1,0.1154068200012262
1,dC,101.0,right,right,1,0.5766069460005383
1,cC,103.0,right,right,1,0.3460225670023647
1,cN1,105.0,right,right,1,0.422433017000003
2,uC,80.0,left,left,1,0.3075474540019059
1,cN1,103.0,right,right,1,0.1923095210004249
2,dC,82.0,left,left,1,0.6142920509992109
2,cC,84.0,left,left,1,0.230624165997142
2,dC,84.0,left,right,0,1.074740990999999
2,cC,86.0,left,left,1,0.1921330229997693
1,uC,103.0,right,right,1,0.3458606050007802
1,uC,101.0,right,right,1,0.4994555550001678
1,cN1,101.0,right,right,1,0.4606555120008125
2,dC,83.0,left,left,1,0.3072636669967324
2,cF1,80.0,left,left,1,0.3075095559979673
2,uC,82.0,left,left,1,0.3843444310004998
2,cN1,88.0,left,right,0,0.95971375299996
2,cF1,82.0,left,left,1,0.2687971929990454
1,cF1,99.0,right,right,1,0.230653374997928
1,cN1,99.0,right,right,1,0.3072144200014009
2,cN1,87.0,left,right,0,1.997837451999658
2,dC,84.0,left,left,1,0.384145838997938
2,cN1,86.0,left,left,1,0.6914964110001165
1,dC,99.0,right,right,1,0.268834358001186
1,dC,97.0,right,right,1,0.345785358997091
1,uC,99.0,right,right,1,0.2302901530019881
2,cN1,86.5,left,left,1,0.9600215819991718
2,cN1,87.0,left,left,1,0.3456161510002858
1,cF1,97.0,right,right,1,0.5381162439989566
1,uC,97.0,right,right,1,0.3454043479978282
1,cC,101.0,right,right,1,0.1919783789999201
1,uC,95.0,right,right,1,0.6534579590006615
2,dC,85.0,left,left,1,0.3461386339986348
2,dC,86.0,left,left,1,0.6147467060000054
2,cF1,84.0,left,left,1,0.345656876997964
1,dC,95.0,right,right,1,0.3839212800012319
1,uC,93.0,right,right,1,0.5376846809995186
2,cC,88.0,left,left,1,2.803680390999943
1,cF1,95.0,right,right,1,0.2690652720011713
1,cC,99.0,right,right,1,0.2691578619997017
1,cN1,97.0,right,right,1,0.3841110169996682
2,cF1,86.0,left,left,1,1.228249285999482
2,cC,90.0,vertical,right,0,0.576486700996611
2,cF1,88.0,left,left,1,1.152403861000494
2,cC,90.0,vertical,right,0,0.3459798689982563
2,cN1,87.5,left,left,1,0.8065155250005773
2,uC,84.0,left,left,1,1.613006445000792
1,cC,97.0,right,right,1,0.1536274450008932
1,dC,93.0,right,right,1,0.7298194389986747
1,dC,91.0,right,right,1,0.4220455899994704
1,cF1,93.0,right,right,1,0.2687075940011709
2,uC,86.0,left,left,1,3.838025270997605
1,cC,95.0,right,right,1,0.2688643620022049
2,cC,90.0,vertical,right,0,0.3073227989989391
2,cF1,90.0,vertical,right,0,0.5377387839980656
1,dC,89.0,left,right,0,0.5377735820002272
2,cN1,88.0,left,right,0,0.3840277890012658
1,dC,88.0,left,left,1,1.114654924000206
2,uC,88.0,left,right,0,0.6909904069980257
1,cN1,95.0,right,right,1,0.1921385389978241
2,cC,90.0,vertical,left,0,0.1155759619978198
2,cN1,87.5,left,right,0,0.6909871230018325
1,cF1,91.0,right,left,0,0.7304406509974797
2,cF1,90.0,vertical,right,0,0.5378222020008252
2,cN1,87.0,left,right,0,4.875398092000978
1,uC,91.0,right,right,1,0.3455233799977577
1,cN1,93.0,right,right,1,0.2687570090020017
1,cN1,91.0,right,right,1,0.2302901350012689
2,cN1,86.5,left,left,1,1.228530645999854
1,cC,93.0,right,right,1,0.4991159839992179
1,uC,89.0,left,right,0,0.9218780609990063
2,cN1,87.0,left,left,1,0.921449068999209
2,cN1,87.5,left,left,1,0.4607402469991939
1,cF1,92.0,right,left,0,0.7305295559999649
1,dC,89.0,left,left,1,0.3458539610001026
1,cN1,89.0,left,right,0,0.5375956660027441
1,cF1,93.0,right,right,1,0.345792864998657
1,dC,90.0,vertical,right,0,0.7300563870012411
2,dC,87.0,left,left,1,0.460826394999458
2,cF1,90.0,vertical,left,0,0.4228083199996036
1,cF1,92.5,right,right,1,0.4605087950003508
1,uC,88.0,left,left,1,0.4220285900009912
1,cN1,88.0,left,left,1,0.4223251660005189
1,uC,89.0,left,left,1,0.4611888199979148
2,cC,90.0,vertical,left,0,0.5761924069993256
2,cF1,90.0,vertical,right,0,1.344026933998975
1,cN1,89.0,left,right,0,0.537809361001564
1,uC,90.0,vertical,right,0,0.4607752880001499
1,dC,90.0,vertical,right,0,1.458447315002559
1,cN1,88.5,left,right,0,0.3454783039996983
1,cC,91.0,right,right,1,0.384006390999275
2,cN1,88.0,left,right,0,0.5380263320002996
1,uC,90.0,vertical,right,0,0.2688973849981267
1,dC,90.0,vertical,right,0,0.6914775630029908
2,uC,87.0,left,right,0,0.5764562699987437
1,dC,90.0,vertical,right,0,0.3461012090010627
1,cN1,88.0,left,right,0,0.7677605230019253
2,dC,88.0,left,right,0,0.6916784640015976
2,cC,90.0,vertical,right,0,0.4996173059989815
1,dC,90.0,vertical,right,0,0.5377756839989161
2,cN1,87.5,left,right,0,0.499545760001638
1,dC,90.0,vertical,left,0,1.72813598400171
1,cC,89.0,left,left,1,0.5000020389998099
2,uC,86.0,left,left,1,1.114225933000853
2,cN1,87.0,left,left,1,0.8831050939988927
2,cC,90.0,vertical,left,0,0.9986733910009207
1,cF1,92.0,right,right,1,0.6145328269994934
1,cN1,87.5,left,right,0,0.4226711650007928
1,cC,91.0,right,right,1,0.5374182639970968
2,dC,87.5,left,right,0,0.4991967290006869
2,cC,90.0,vertical,right,0,0.3842128639989824
1,uC,90.0,vertical,right,0,0.2690920469976845
2,dC,87.0,left,right,0,0.8449686909989396
1,dC,90.0,vertical,right,0,0.2690781400015112
2,cC,90.0,vertical,right,0,0.2689426979995915
1,cF1,91.5,right,right,1,0.96048056699874
1,uC,90.0,vertical,right,0,0.2691749850018823
1,dC,90.0,vertical,right,0,0.4225611110014142
2,cC,90.0,vertical,right,0,0.5378520090016536
2,cF1,90.0,vertical,left,0,0.6142755269975169
1,cC,89.0,left,right,0,0.5374478150006325
1,cF1,91.0,right,right,1,0.4991435209994961
2,uC,86.5,left,left,1,0.6142972319976252
2,dC,86.5,left,right,0,0.4990530200011563
2,cC,90.0,vertical,right,0,0.3840861649987346
1,cN1,87.0,left,left,1,0.4610433080015355
2,uC,87.0,left,left,1,0.652962453001237
2,dC,86.0,left,left,1,0.4999177669997152
1,cC,88.0,left,left,1,0.3838963270027307
2,uC,87.5,left,left,1,0.4228289839993522
2,cF1,90.0,vertical,right,0,0.345564810999349
1,dC,90.0,vertical,right,0,0.4610175199995865
2,cC,90.0,vertical,right,0,0.3453485290010576
2,dC,86.5,left,left,1,1.113313763999031
1,dC,90.0,vertical,right,0,0.345357234000403
2,cC,90.0,vertical,right,0,0.3074931160008418
2,dC,87.0,left,left,1,0.4223612870009674
2,uC,88.0,left,left,1,0.4605212579990621
2,cF1,90.0,vertical,left,0,0.8455272159990272
2,dC,87.5,left,left,1,1.076197719001357
1,cC,89.0,left,left,1,0.3461196159987594
