StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,uC,80.0,left,left,1,0.4221389860031195
1,dC,105.0,right,right,1,0.4605911959661171
1,cC,105.0,right,right,1,0.5763699910021387
1,cC,103.0,right,right,1,0.3457436289754696
2,dC,80.0,left,left,1,0.3459406449692324
1,uC,105.0,right,right,1,0.6141150739858858
2,cC,80.0,left,left,1,0.4613273289869539
2,dC,82.0,left,left,1,0.461040253052488
2,dC,84.0,left,left,1,0.383849612029735
2,cC,82.0,left,left,1,0.460643183963839
2,cC,84.0,left,left,1,0.3843891020515002
1,cC,101.0,right,right,1,0.5369537060032599
2,uC,82.0,left,left,1,0.4985651129973121
2,cC,86.0,left,left,1,0.4611310079926625
1,uC,103.0,right,right,1,0.6141486130072735
2,dC,86.0,left,left,1,0.4228672080207616
1,cC,99.0,right,right,1,0.9985462269978598
2,dC,88.0,left,left,1,0.4988272730261087
1,dC,103.0,right,right,1,0.4228860579896718
1,uC,101.0,right,right,1,0.460685910016764
1,dC,101.0,right,right,1,0.5763454330153763
2,cC,88.0,left,left,1,0.5376926710014232
1,uC,99.0,right,right,1,0.3842036739806645
1,uC,97.0,right,right,1,0.3841610630042851
1,uC,95.0,right,right,1,0.5378157279919833
2,dC,90.0,vertical,left,0,0.8064743379945867
1,dC,99.0,right,right,1,0.5378872600267641
2,dC,90.0,vertical,left,0,4.261752199963666
2,uC,84.0,left,left,1,1.381463176978286
2,uC,86.0,left,left,1,0.5378092480241321
2,dC,90.0,vertical,left,0,0.5755820609629154
2,dC,90.0,vertical,left,0,4.029976644029375
2,cC,90.0,vertical,left,0,0.4996949590276927
1,uC,93.0,right,right,1,1.381623229011893
2,dC,90.0,vertical,left,0,1.305666653963272
2,uC,88.0,left,left,1,0.8830335199600086
2,uC,90.0,vertical,left,0,0.5770377850276418
2,uC,90.0,vertical,right,0,5.719768093025777
1,dC,97.0,right,right,1,0.384105778997764
1,cC,97.0,right,right,1,1.536572962009814
1,dC,95.0,right,right,1,0.3840759000158869
1,cC,95.0,right,right,1,0.9217963420087472
2,cC,90.0,vertical,left,0,0.3071407940005884
1,uC,91.0,right,left,0,1.65099338098662
1,cC,93.0,right,left,0,0.5374898570007645
1,uC,92.0,right,right,1,4.56840365298558
1,dC,93.0,right,left,0,0.5376446000300348
1,uC,91.0,right,left,0,4.836845814017579
1,dC,94.0,right,right,1,0.6148660429753363
2,uC,90.0,vertical,left,0,0.4613603670150042
2,dC,90.0,vertical,left,0,0.5380069469683804
2,dC,90.0,vertical,left,0,0.9983099109958857
2,uC,90.0,vertical,left,0,0.6908495689858682
1,dC,93.0,right,left,0,1.344183953013271
2,uC,90.0,vertical,left,0,0.6144378510070965
2,cC,90.0,vertical,left,0,0.6143494909629226
1,uC,91.5,right,right,1,1.689326361985877
1,uC,91.0,right,left,0,0.5758548849844374
1,dC,93.5,right,left,0,1.613713083032053
2,uC,90.0,vertical,left,0,1.229133959044702
2,uC,90.0,vertical,right,0,1.766661202011164
1,uC,91.5,right,left,0,0.8063301930087619
2,dC,90.0,vertical,left,0,1.189703402982559
1,cC,94.0,right,right,1,1.53574642498279
1,cC,93.0,right,left,0,0.7676045920234174
1,dC,94.0,right,right,1,0.4613251080154441
1,cC,93.5,right,left,0,0.8827182259992696
2,cC,90.0,vertical,left,0,0.6530813860008493
2,dC,90.0,vertical,left,0,0.7681299960240722
2,cC,90.0,vertical,left,0,0.8059380860067904
2,uC,90.0,vertical,left,0,3.570827658986673
2,cC,90.0,vertical,left,0,0.614027431991417
2,cC,90.0,vertical,left,0,0.3840038959751837
1,uC,92.0,right,right,1,1.804240662022494
1,cC,94.0,right,left,0,0.8824896449805237
1,cC,94.5,right,left,0,2.035341596987564
2,dC,90.0,vertical,right,0,1.611600552976597
2,cC,90.0,vertical,left,0,0.6914161649765447
1,cC,95.0,right,left,0,0.729280881001614
2,cC,90.0,vertical,left,0,0.5379061339772306
1,cC,95.5,right,right,1,1.459169340028893
1,dC,93.5,right,right,1,0.4611237479839474
2,dC,90.0,vertical,right,0,1.68876722297864
1,dC,93.0,right,right,1,0.9986802769708447
2,uC,90.0,vertical,left,0,1.075582974997815
2,dC,90.0,vertical,left,0,0.6527903840178624
1,uC,91.5,right,right,1,1.535557095950935
2,cC,90.0,vertical,left,0,0.6910544330021366
1,dC,92.5,right,right,1,0.729581169958692
2,uC,90.0,vertical,left,0,0.5376532599912025
1,cC,95.0,right,right,1,1.611651499988511
2,dC,90.0,vertical,left,0,0.9978095960104838
2,dC,90.0,vertical,left,0,1.228422713989858
