StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
1,cC,105.0,right,right,1,3.570244387999992
2,cF1,80.0,left,left,1,0.2306514659994718
2,dC,80.0,left,left,1,0.2308552810000037
1,cN1,105.0,right,right,1,0.2308589599997504
2,dC,82.0,left,left,1,0.1922416460001841
1,cC,103.0,right,right,1,0.1920474400003513
1,cC,101.0,right,right,1,0.4605246350001835
1,cN1,103.0,right,right,1,0.2304623780000838
2,cN1,80.0,left,left,1,0.1924159139998665
2,cN1,82.0,left,left,1,0.1540435209999487
2,dC,84.0,left,left,1,0.3456089259998407
1,dC,105.0,right,right,1,0.3454674049999085
2,dC,86.0,left,left,1,0.3839275479995194
2,cC,80.0,left,right,0,0.3459451930002615
1,cF1,105.0,right,right,1,0.1923901079999268
1,cN1,101.0,right,right,1,0.3836686439999539
2,cC,78.0,left,left,1,0.192228499000521
1,cF1,103.0,right,right,1,0.2307238720004534
1,cN1,99.0,right,right,1,0.3458553790005681
1,cC,99.0,right,right,1,0.3454894870001226
2,cF1,82.0,left,left,1,0.2305530840003485
1,uC,105.0,right,right,1,0.2303476080005566
2,dC,88.0,left,right,0,0.959289033999994
2,uC,80.0,left,left,1,0.1918188039999222
1,cF1,101.0,right,right,1,0.2686902119994556
1,uC,103.0,right,right,1,0.2305981549998251
2,uC,82.0,left,left,1,0.3074043360002179
1,dC,103.0,right,right,1,0.153630486000111
1,uC,101.0,right,right,1,0.2687350429996513
1,cF1,99.0,right,right,1,0.2686184780004623
2,uC,84.0,left,left,1,0.2304405129998486
1,cF1,97.0,right,right,1,0.1538634819999061
1,cC,97.0,right,right,1,0.1922690139999759
1,dC,101.0,right,right,1,0.2306303539999135
2,cF1,84.0,left,left,1,0.4610028609995425
2,uC,86.0,left,left,1,0.4608040089997303
2,cN1,84.0,left,left,1,0.3072058449997712
1,cF1,95.0,right,left,0,0.4987466299999141
2,uC,88.0,left,left,1,0.7290719330003412
2,cN1,86.0,left,left,1,0.3843815109994466
1,cN1,97.0,right,right,1,0.2306094949999533
2,cN1,88.0,left,left,1,1.113068276999911
2,cC,79.0,left,left,1,0.3460144549999313
2,cF1,86.0,left,left,1,0.3456038309996075
2,cN1,90.0,vertical,left,0,0.4608572059996732
1,dC,99.0,right,right,1,0.2303909039992504
2,cC,80.0,left,left,1,0.3840470360000836
2,cN1,90.0,vertical,right,0,0.3843176999998832
1,cN1,95.0,right,right,1,0.2691364600004817
2,uC,90.0,vertical,right,0,0.3841579609998007
1,cF1,96.0,right,right,1,0.3457240059997275
2,cF1,88.0,left,left,1,0.4605089779997797
1,uC,99.0,right,right,1,0.2306263919999765
