StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,cF1,80.0,left,left,1,0.4220274039998912
1,cF1,105.0,right,right,1,0.4992672059997858
2,dC,80.0,left,left,1,0.1538146149996464
2,uC,80.0,left,left,1,0.2687296880003487
1,cC,105.0,right,right,1,0.3074276560000726
2,cF1,82.0,left,left,1,0.3455620479999197
1,cF1,103.0,right,right,1,0.1535926599999584
1,cN1,105.0,right,right,1,0.1922093060002226
1,cN1,103.0,right,right,1,0.230879300000197
2,cN1,80.0,left,left,1,0.1922762969998075
2,uC,82.0,left,left,1,0.2685981750000792
2,cC,80.0,left,left,1,0.2305139690006399
2,dC,82.0,left,left,1,0.1921261530005722
2,cN1,82.0,left,left,1,0.1924572910002098
2,dC,84.0,left,left,1,0.269109615999696
2,cN1,84.0,left,left,1,0.1920484439997381
2,uC,84.0,left,left,1,0.4220749429996431
1,cF1,101.0,right,right,1,0.1535340970003745
2,cF1,84.0,left,left,1,0.3069562860000588
1,dC,105.0,right,right,1,0.8059500030003619
2,cN1,86.0,left,left,1,0.5370334039998852
1,cF1,99.0,right,right,1,0.3073712010000236
1,cC,103.0,right,right,1,0.3839100490004057
1,dC,103.0,right,right,1,0.2690139289998115
2,dC,86.0,left,left,1,0.9596758389998286
1,uC,105.0,right,right,1,0.2685933560005651
1,cC,101.0,right,right,1,0.1919283610004641
1,cC,99.0,right,right,1,0.1921831230001771
2,cF1,86.0,left,left,1,0.3457584259995201
1,cC,97.0,right,right,1,0.3838511470003141
1,uC,103.0,right,right,1,0.2305974289993173
1,dC,101.0,right,right,1,0.2305648259998634
1,dC,99.0,right,right,1,1.419936098000107
2,dC,88.0,left,left,1,0.7673875290001888
2,dC,90.0,vertical,left,0,1.188952395999877
1,dC,97.0,right,right,1,0.3454268519999459
1,cN1,101.0,right,right,1,0.3073112869997203
1,cC,95.0,right,right,1,0.3837345089996234
1,dC,95.0,right,right,1,0.307584317999499
1,cC,93.0,right,right,1,0.4990465339997172
1,dC,93.0,right,right,1,0.3069363710001198
1,uC,101.0,right,right,1,0.2689657749997423
2,cC,82.0,left,left,1,0.3456713879995732
2,cN1,88.0,left,left,1,0.3452315340000496
1,cN1,99.0,right,right,1,0.2308518390000245
2,uC,86.0,left,left,1,0.3451064279997809
2,uC,88.0,left,left,1,0.3074729870004376
2,cC,84.0,left,left,1,0.2688888640004734
1,uC,99.0,right,right,1,0.461243444999127
1,cC,91.0,right,left,0,1.227729542999441
2,cC,86.0,left,left,1,0.3073872209988622
2,cN1,90.0,vertical,left,0,0.6520206170007441
1,uC,97.0,right,right,1,0.3840647790002549
1,cF1,97.0,right,right,1,0.3458074149984895
1,uC,95.0,right,right,1,0.2686890149998362
2,cF1,88.0,left,left,1,0.6523277750002308
1,cF1,95.0,right,right,1,0.3069934560007823
1,cF1,93.0,right,right,1,0.345397363000302
1,cF1,91.0,right,right,1,0.8064391609987069
2,dC,90.0,vertical,left,0,1.097408513000119
1,uC,93.0,right,right,1,0.3457761070003471
2,cC,88.0,left,left,1,0.9596987379991333
2,cN1,90.0,vertical,left,0,0.3071362340015185
1,cF1,89.0,left,right,0,0.6525202320008248
2,dC,90.0,vertical,left,0,0.7674286769997707
2,cC,90.0,vertical,left,0,1.995240836000448
1,cN1,97.0,right,right,1,0.3071579210009077
1,cF1,88.0,left,left,1,0.5374987100003636
2,cN1,90.0,vertical,left,0,0.49906416200065
2,dC,90.0,vertical,left,0,0.7676949409997178
2,dC,90.0,vertical,left,0,0.5379238380010065
1,cC,92.0,right,right,1,0.30729545199938
2,cC,90.0,vertical,right,0,0.4606813009995676
1,dC,91.0,right,right,1,0.5374084840004798
2,cF1,90.0,vertical,right,0,0.537741203999758
2,dC,90.0,vertical,right,0,0.3073400070006755
1,uC,91.0,right,right,1,0.3071166890003951
1,cF1,89.0,left,right,0,0.4986773839991656
2,uC,90.0,vertical,right,0,0.652496352999151
2,uC,90.0,vertical,right,0,0.6528256910005439
1,dC,89.0,left,right,0,0.6911487900015345
2,cC,90.0,vertical,right,0,0.3461062529986521
2,cF1,90.0,vertical,right,0,0.4993516950016783
1,cN1,95.0,right,right,1,0.4605047400000331
2,cC,90.0,vertical,right,0,1.036181475999911
1,dC,88.0,left,left,1,0.9596630680007365
1,uC,89.0,left,left,1,0.4989082449992566
1,cN1,93.0,right,right,1,0.7295350349995715
2,cN1,90.0,vertical,right,0,0.4608318059999874
1,cN1,91.0,right,right,1,0.3843747970004188
2,cF1,90.0,vertical,right,0,0.3077253390001715
1,cC,91.0,right,right,1,0.3075089499998285
2,dC,90.0,vertical,right,0,0.3070901089995459
2,uC,90.0,vertical,right,0,0.8442056019994197
2,cF1,90.0,vertical,right,0,0.2305834769995272
2,cC,90.0,vertical,right,0,0.4221665719996963
1,cN1,89.0,left,right,0,0.5371923679995234
1,uC,91.0,right,right,1,0.3455032800011395
1,cN1,88.0,left,right,0,1.190133292999235
2,uC,90.0,vertical,right,0,0.2693303919986647
1,uC,89.0,left,left,1,0.8673412909993203
2,cF1,90.0,vertical,right,0,0.422738188999574
1,cF1,88.5,left,right,0,0.5374123419987882
2,cF1,90.0,vertical,right,0,0.3839222820006398
2,cC,90.0,vertical,right,0,0.6139993169999798
2,cC,90.0,vertical,right,0,0.3455985099990357
1,uC,91.0,right,right,1,0.4225303000002896
1,uC,89.0,left,right,0,0.4223841839993838
2,cC,90.0,vertical,right,0,0.5375322229992889
2,uC,90.0,vertical,right,0,0.4990209520001372
1,cN1,87.0,left,left,1,0.6141543379999348
2,uC,90.0,vertical,left,0,0.998065437999685
1,cF1,88.0,left,left,1,0.6521678480003175
2,uC,90.0,vertical,left,0,0.9585719119986607
2,cN1,90.0,vertical,right,0,1.611628397000459
2,cC,90.0,vertical,right,0,0.7670786390008288
1,cN1,87.5,left,right,0,1.304578298000706
1,uC,88.0,left,right,0,0.3454765009992116
2,dC,90.0,vertical,right,0,0.767256904999158
2,cF1,90.0,vertical,right,0,0.345589372998802
1,uC,87.0,left,left,1,0.6365237170011824
2,uC,90.0,vertical,right,0,0.537212241000816
1,cF1,88.5,left,left,1,0.6529457990000083
2,cN1,90.0,vertical,right,0,0.8439406950001285
1,cN1,87.0,left,right,0,0.4992817040001682
2,cN1,90.0,vertical,right,0,0.8444306199999119
1,cN1,86.5,left,left,1,0.9215139080006338
2,cC,90.0,vertical,right,0,0.4224444250012311
1,cC,90.0,vertical,right,0,0.307130323999445
1,cC,90.0,vertical,right,0,0.3837442029998783
1,cF1,89.0,left,right,0,0.6906449609996343
1,uC,87.5,left,right,0,0.4993471060006414
1,cF1,88.5,left,right,0,0.6522327399998176
1,cF1,88.0,left,right,0,0.3838350119985989
2,cF1,90.0,vertical,right,0,0.345575564999308
1,cC,90.0,vertical,right,0,0.498615439999412
2,cN1,90.0,vertical,right,0,0.4605320980008401
2,cF1,90.0,vertical,right,0,0.3067375800001173
1,cC,90.0,vertical,right,0,0.8829730879988347
2,uC,90.0,vertical,right,0,0.4222590959998342
2,cC,90.0,vertical,right,0,0.4225957569997263
1,uC,87.0,left,right,0,1.304880678999325
2,dC,90.0,vertical,left,0,0.691002898998704
2,cN1,90.0,vertical,left,0,0.8827116299999034
2,cC,90.0,vertical,right,0,0.3453293870006746
2,cC,90.0,vertical,right,0,0.3455312969999795
1,dC,89.0,left,right,0,2.495691984999212
2,cF1,90.0,vertical,right,0,0.4989862160000484
1,uC,86.5,left,right,0,0.5381955969987757
1,dC,88.5,left,right,0,0.8060342450007738
1,cF1,87.5,left,left,1,1.918945234001512
1,dC,88.0,left,right,0,0.9984728780000296
2,cN1,90.0,vertical,right,0,0.6524902809997002
2,uC,90.0,vertical,right,0,0.3074862800003757
2,cF1,90.0,vertical,right,0,0.3450994540016836
1,cF1,88.0,left,right,0,0.1920865810006944
2,dC,90.0,vertical,right,0,0.537016603999291
2,cN1,90.0,vertical,right,0,0.383675030001541
2,cF1,90.0,vertical,right,0,0.3844122570008039
2,dC,90.0,vertical,right,0,0.383968415999334
1,cF1,87.5,left,right,0,0.4834374019992538
1,cN1,87.0,left,left,1,0.6522778689995903
1,cC,90.0,vertical,right,0,1.075144151998757
1,cC,90.0,vertical,right,0,0.5375526120005816
1,cF1,87.0,left,left,1,0.4219960360005643
2,cC,90.0,vertical,left,0,0.4222350970012485
2,dC,90.0,vertical,right,0,0.5374092450001626
1,uC,86.0,left,left,1,0.3452808309993998
1,cC,90.0,vertical,right,0,0.3454230440001993
2,dC,90.0,vertical,right,0,0.3836474950003321
2,cN1,90.0,vertical,right,0,0.4226303510004072
1,cC,90.0,vertical,right,0,0.3838158969992946
2,cF1,90.0,vertical,right,0,0.7290886169994337
1,uC,86.5,left,left,1,0.3837503159993503
2,cC,90.0,vertical,right,0,0.3453890639993915
1,cN1,87.5,left,left,1,0.3075429300006363
1,dC,87.5,left,left,1,0.3841919980004604
1,cC,90.0,vertical,left,0,0.3069421800009877
1,dC,88.0,left,left,1,2.417810024000573
1,cF1,87.5,left,left,1,0.3843262350001169
2,uC,90.0,vertical,left,0,0.9972473990001163
2,uC,90.0,vertical,right,0,0.2691076770006475
1,cC,90.0,vertical,right,0,0.4602958080013195
1,uC,87.0,left,left,1,0.3454845079995721
1,dC,88.5,left,left,1,0.268991251999978
2,uC,90.0,vertical,right,0,0.2687370330004342
2,cN1,90.0,vertical,right,0,0.8825681090002035
1,dC,89.0,left,right,0,0.4224274540010811
1,dC,88.5,left,right,0,0.4605723029999353
1,dC,88.0,left,left,1,0.4227202700003545
1,cN1,88.0,left,left,1,0.5372748949994275
2,uC,90.0,vertical,left,0,0.4604137040005298
2,cF1,90.0,vertical,right,0,0.652350773998478
2,cC,90.0,vertical,right,0,1.26590399899942
2,uC,90.0,vertical,right,0,0.4609797329994763
2,uC,90.0,vertical,right,0,0.2693885999997292
1,cN1,88.5,left,right,0,0.5374035540007753
1,dC,88.5,left,right,0,0.4993069049996848
2,dC,90.0,vertical,right,0,0.3834963059998699
1,cC,90.0,vertical,right,0,0.4218561350007803
1,uC,87.5,left,left,1,0.4222909459986113
1,dC,88.0,left,left,1,0.8442079300002661
2,uC,90.0,vertical,right,0,0.4222383900014393
1,cN1,88.0,left,left,1,0.4994973320008285
2,uC,90.0,vertical,right,0,0.5759242479998647
1,cN1,88.5,left,left,1,0.3073791290007648
1,cN1,89.0,left,left,1,0.307002604000445
2,cC,90.0,vertical,right,0,0.3452588930013007
1,uC,88.0,left,left,1,0.3458238630009873
1,cC,90.0,vertical,left,0,0.4611633120002807
2,cN1,90.0,vertical,left,0,0.2306431739998516
2,cN1,90.0,vertical,left,0,0.3837675480008329
1,uC,88.5,left,right,0,0.6143132529996365
1,cC,90.0,vertical,left,0,0.7291614559999289
2,cF1,90.0,vertical,left,0,1.112934885999493
1,cC,90.0,vertical,left,0,0.4608103549999214
1,cF1,88.0,left,left,1,0.5374100080007338
2,cF1,90.0,vertical,right,0,0.5760101319992827
1,cF1,88.5,left,left,1,0.5379410000005009
2,cN1,90.0,vertical,left,0,0.5376722940000036
1,dC,88.5,left,left,1,0.307161520999216
2,cN1,90.0,vertical,right,0,0.6912656059994333
2,cC,90.0,vertical,right,0,0.5372147150010278
2,cF1,90.0,vertical,right,0,0.9208517560000473
1,dC,89.0,left,right,0,0.4620673709996481
2,cF1,90.0,vertical,right,0,0.3842359589998523
2,cN1,90.0,vertical,right,0,0.6907232350004051
1,dC,88.5,left,left,1,0.3457450740006607
2,dC,90.0,vertical,right,0,0.4990218900002219
2,cF1,90.0,vertical,right,0,0.3456162010006665
2,uC,90.0,vertical,right,0,0.3072147570001107
2,cC,90.0,vertical,right,0,0.4990902979989187
2,cC,90.0,vertical,right,0,0.345672238001498
2,dC,90.0,vertical,right,0,0.5754326509995735
2,dC,90.0,vertical,right,0,1.036109554999712
2,cF1,90.0,vertical,right,0,0.4604647270007263
1,cC,90.0,vertical,right,0,0.7294869229990582
1,cN1,89.5,left,right,0,0.6909467530003894
2,dC,90.0,vertical,right,0,0.3069467340010306
1,uC,88.0,left,right,0,0.3836653819998901
2,cN1,90.0,vertical,right,0,0.3073058360005234
1,cN1,89.0,left,right,0,0.2688037399984751
2,uC,90.0,vertical,right,0,0.2687104510005156
2,dC,90.0,vertical,right,0,0.3839177719983127
2,cN1,90.0,vertical,right,0,0.422404152001036
1,cN1,88.5,left,left,1,0.9213697079994745
1,cN1,89.0,left,left,1,0.4224952089989529
2,dC,90.0,vertical,right,0,0.5373322449995612
1,dC,89.0,left,right,0,0.4222567160013568
1,cF1,89.0,left,right,0,0.3837438209993707
2,dF1,80.0,left,right,0,6.48683961000097
1,dF1,105.0,right,right,1,0.384019139000884
2,uF1,80.0,left,left,1,0.1923088900002767
2,uF1,82.0,left,left,1,0.3069813050005905
2,uF1,84.0,left,left,1,0.5373446890007472
1,cN2,105.0,right,right,1,0.192099384001267
1,dN1,105.0,right,right,1,0.1152169029992365
1,uF1,105.0,right,right,1,0.191910737001308
1,dN1,103.0,right,right,1,0.3457852310002636
1,cN2,103.0,right,right,1,0.1919541249990289
2,dN1,80.0,left,left,1,0.2687084170011076
2,uN1,80.0,left,left,1,0.192048712999167
2,uF1,86.0,left,left,1,0.2690598540011706
2,uN1,82.0,left,left,1,0.1924633729995548
2,dF1,78.0,left,left,1,0.1537054620002891
2,cN2,80.0,left,left,1,0.1538551949997782
2,uF1,88.0,left,left,1,0.3455297679993237
1,uN1,105.0,right,right,1,0.268598001999635
2,dF1,79.0,left,left,1,0.3840226860011171
1,uN1,103.0,right,right,1,0.1919230650000827
1,dN1,101.0,right,right,1,0.192070817000058
2,dN1,82.0,left,left,1,0.2688146800010145
1,dF1,103.0,right,right,1,0.1922322249993158
1,dN1,99.0,right,right,1,0.2691268750004383
1,uF1,103.0,right,right,1,0.1921032200007176
2,cN2,82.0,left,left,1,0.6911037959998794
2,uN1,84.0,left,left,1,0.2307783069991274
1,cN2,101.0,right,right,1,0.230339861000175
1,uF1,101.0,right,right,1,0.3453597650004667
1,dN1,97.0,right,right,1,0.3455191519988148
1,dF1,101.0,right,right,1,0.2302959270000429
1,dF1,99.0,right,right,1,0.1537828679993254
2,dF1,80.0,left,left,1,0.4991315759998542
2,uF1,90.0,vertical,left,0,0.3458743449991744
1,cN2,99.0,right,right,1,0.192262992999531
2,dF1,81.0,left,left,1,0.3071767250003177
1,uF1,99.0,right,right,1,0.1154544180008088
2,cN2,84.0,left,left,1,0.1152246159999777
1,uN1,101.0,right,right,1,0.1152425670006778
2,dN1,84.0,left,left,1,0.1918709069996112
2,dF1,82.0,left,left,1,0.2301898749992688
1,uN1,99.0,right,right,1,0.1919654820012511
1,uN1,97.0,right,right,1,0.2689599240002281
2,cN2,86.0,left,left,1,0.2301079049993859
1,uN1,95.0,right,right,1,0.1921898990003683
1,uN1,93.0,right,right,1,0.1536977530013246
1,dF1,97.0,right,right,1,0.3842645209988405
1,cN2,97.0,right,right,1,0.1920518770002673
1,dF1,95.0,right,right,1,0.4223649920004391
1,uN1,91.0,right,right,1,0.8826065649991506
1,cN2,95.0,right,right,1,0.1920566509998025
2,uN1,86.0,left,left,1,0.4989412299983087
2,uN1,88.0,left,left,1,0.1538045699999202
1,uF1,97.0,right,right,1,0.2304698739990272
2,dF1,83.0,left,left,1,0.5760614640003041
1,uF1,95.0,right,right,1,0.1537999980009772
1,dF1,93.0,right,left,0,0.6902261739996902
2,dF1,84.0,left,left,1,0.1916999710010714
1,uN1,89.0,left,right,0,0.4224312450005527
1,uN1,88.0,left,left,1,0.482977691999622
2,dN1,86.0,left,left,1,0.230208033000963
2,cN2,88.0,left,left,1,0.383806416999505
2,dN1,88.0,left,left,1,0.4222287249995134
2,uN1,90.0,vertical,right,0,0.5763327590011613
2,cN2,90.0,vertical,left,0,0.4607317209993198
1,cN2,93.0,right,right,1,0.2310330039999826
1,uN1,89.0,left,right,0,0.422044127000845
2,uN1,90.0,vertical,right,0,0.3839610879986139
2,dN1,90.0,vertical,left,0,0.576233494999542
1,uN1,88.5,left,left,1,0.537362941999163
2,dN1,90.0,vertical,left,0,0.3454805189994659
1,uF1,93.0,right,right,1,0.2307731500004593
2,dF1,85.0,left,left,1,0.3453397779994702
1,uN1,89.0,left,left,1,0.652787922999778
2,uN1,90.0,vertical,right,0,0.3453167120005673
2,dF1,86.0,left,left,1,0.1921163400002115
1,dN1,95.0,right,right,1,0.2304327420006302
2,cN2,90.0,vertical,left,0,0.3835968410003261
1,cN2,91.0,right,right,1,0.3071102419999079
2,dF1,87.0,left,left,1,0.2684059969997179
2,dN1,90.0,vertical,left,0,0.4219215209996037
2,dN1,90.0,vertical,left,0,0.5754827430009755
1,dN1,93.0,right,right,1,0.5762616930005606
2,dF1,88.0,left,left,1,0.3455107150002732
1,uN1,89.5,left,left,1,0.5378173319986672
1,cN2,89.0,left,left,1,0.4228789499993582
2,uN1,90.0,vertical,right,0,0.6145729839990963
1,dN1,91.0,right,left,0,0.6912141070006328
1,dF1,94.0,right,right,1,0.2687909010001022
2,dN1,90.0,vertical,right,0,0.3456707919995097
1,uF1,91.0,right,left,0,0.614243844000157
1,uF1,92.0,right,right,1,0.3457081529995776
1,uF1,91.0,right,right,1,0.3840931480008294
2,dN1,90.0,vertical,left,0,0.576355142000466
2,uN1,90.0,vertical,right,0,0.3073176560010324
1,dF1,93.0,right,right,1,0.2687492810000549
1,dN1,92.0,right,right,1,0.192196068001067
2,dF1,89.0,left,right,0,0.3071717279999575
1,uF1,90.0,vertical,right,0,0.4603785449999123
1,dN1,91.0,right,right,1,0.2310268340006587
2,dF1,88.5,left,left,1,0.499524269000176
2,uN1,90.0,vertical,left,0,0.576089227999546
2,uF1,90.0,vertical,right,0,1.035930641000959
1,dF1,92.0,right,right,1,0.2307105879990559
2,uF1,90.0,vertical,right,0,0.4227490529992792
1,uF1,90.0,vertical,right,0,0.2304541960002098
1,dN1,90.0,vertical,right,0,0.5384214170007908
2,dF1,89.0,left,left,1,0.8838173940002889
1,uF1,90.0,vertical,left,0,0.3454127759996481
1,dF1,91.0,right,right,1,0.345592237999881
2,cN2,90.0,vertical,right,0,0.4605322570005228
2,uF1,90.0,vertical,right,0,0.4604173110001284
2,dN1,90.0,vertical,right,0,0.2690193899998121
1,uN1,90.0,vertical,right,0,0.7290875150010834
1,uN1,90.0,vertical,right,0,0.2306053329994029
2,uF1,90.0,vertical,right,0,0.3456977610003378
2,dN1,90.0,vertical,right,0,0.3837097020004876
2,dN1,90.0,vertical,right,0,0.2302714369998284
1,dF1,90.0,vertical,right,0,0.1536229810008081
1,dN1,90.0,vertical,right,0,0.2303843489989958
