StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,uC,80.0,left,left,1,0.7672147360008239
2,dC,80.0,left,left,1,0.268821203000698
1,cN1,105.0,right,right,1,0.115673266000158
2,dC,82.0,left,left,1,0.1152527040012501
2,uC,82.0,left,left,1,0.1154632029993081
1,uC,105.0,right,right,1,0.115699236999717
2,cC,80.0,left,left,1,0.03840464699896984
1,dC,105.0,right,right,1,0.1151971180006512
1,cN1,103.0,right,right,1,0.2303798569992068
2,uC,84.0,left,left,1,0.2309930240007816
2,cC,82.0,left,right,0,0.6533541989992955
1,uC,103.0,right,right,1,0.1538443579993327
1,cC,105.0,right,right,1,0.2686784050001734
2,cN1,80.0,left,left,1,0.153719297999487
1,uC,101.0,right,right,1,0.2303043979991344
1,uC,99.0,right,right,1,0.4224871940004959
1,uC,97.0,right,right,1,0.2307439349988272
1,uC,95.0,right,right,1,0.3459077419993264
2,uC,86.0,left,left,1,0.115452087000449
2,uC,88.0,left,left,1,0.4609237419990677
1,cC,103.0,right,right,1,0.2686947080001119
1,dC,103.0,right,right,1,0.3075707099997089
1,uC,93.0,right,left,0,0.3451084440002887
2,dC,84.0,left,left,1,0.4223242640000535
2,dC,86.0,left,left,1,0.4604003620006552
1,dC,101.0,right,right,1,0.07678643699910026
1,uC,94.0,right,right,1,0.3454277790006017
2,dC,88.0,left,left,1,0.499117651999768
1,cN1,101.0,right,right,1,0.268917228000646
2,cC,81.0,left,right,0,0.5374241059998894
1,cC,101.0,right,right,1,0.3456733820003137
1,dC,99.0,right,right,1,0.307714725000551
2,dC,90.0,vertical,left,0,0.2304962589987554
2,cN1,82.0,left,left,1,0.3069681119995948
1,cF1,105.0,right,right,1,0.230860390000089
2,cC,80.0,left,left,1,0.3456346060011128
1,cC,99.0,right,right,1,0.1536728629998834
2,cN1,84.0,left,left,1,0.1922751019992575
2,uC,90.0,vertical,left,0,0.2303828860003705
2,cF1,80.0,left,left,1,0.2689839000013308
2,cN1,86.0,left,left,1,0.9982744099997944
2,cN1,88.0,left,left,1,0.9593781139992643
1,uC,93.0,right,right,1,0.2308998299995437
1,cN1,99.0,right,right,1,0.2303055630000017
2,uC,90.0,vertical,left,0,0.4990979209997022
2,cN1,90.0,vertical,right,0,0.3069871320003585
1,cN1,97.0,right,right,1,0.2306822270002158
1,cF1,103.0,right,right,1,0.1919054699992557
2,cF1,82.0,left,left,1,0.2305578550003702
2,uC,90.0,vertical,right,0,1.037176665000516
2,cF1,84.0,left,left,1,0.5371486770000047
1,cF1,101.0,right,right,1,0.4222443360013131
1,cN1,95.0,right,right,1,0.3074927800007572
1,cC,97.0,right,right,1,0.3840695810013131
2,cF1,86.0,left,left,1,0.4221126700012974
2,cC,80.5,left,left,1,0.23072989100001
2,cF1,88.0,left,left,1,0.6143958729990118
1,cC,95.0,right,right,1,0.1923990120012604
2,dC,90.0,vertical,right,0,0.6909481470011087
1,cC,93.0,right,right,1,0.3072283819983568
1,cF1,99.0,right,right,1,0.2303661200003262
2,cF1,90.0,vertical,right,0,0.7674392310000258
2,dC,90.0,vertical,right,0,0.3834975469999335
1,uC,92.0,right,left,0,0.3070811269990372
2,cN1,90.0,vertical,right,0,0.383807911999611
2,uC,90.0,vertical,left,0,0.6530363070014573
2,cF1,90.0,vertical,right,0,1.074524596000629
1,dC,97.0,right,right,1,0.3837365550007235
2,cN1,90.0,vertical,right,0,0.2688596220014006
2,uC,90.0,vertical,left,0,0.1538280489985482
1,dC,95.0,right,right,1,0.2685222079999221
1,uC,92.5,right,right,1,0.307187188998796
1,uC,92.0,right,right,1,0.5754096300006495
2,cF1,90.0,vertical,left,0,0.3074464330002229
2,cC,81.0,left,left,1,0.4608816180007125
1,uC,91.5,right,left,0,0.5756288140000834
1,cN1,93.0,right,right,1,0.1919969640002819
1,dC,93.0,right,right,1,0.4997544639991247
2,cC,81.5,left,left,1,0.2304311970001436
2,cN1,90.0,vertical,right,0,0.3070624140000291
2,dC,90.0,vertical,left,0,0.2687786930000584
2,cC,82.0,left,left,1,0.6138468169992848
1,cF1,97.0,right,right,1,0.1533167790003063
2,cF1,90.0,vertical,left,0,1.404373489998761
1,cN1,91.0,right,right,1,0.268846630000553
1,cF1,95.0,right,right,1,0.26954147700053
1,cF1,93.0,right,right,1,0.6138010510003369
2,cC,82.5,left,left,1,0.2305828640000982
1,dC,91.0,right,left,0,0.9977779719993123
1,cC,91.0,right,right,1,0.4225154360010492
1,cN1,89.0,left,right,0,0.4605261649994645
1,cF1,91.0,right,right,1,0.5756905819998792
2,dC,90.0,vertical,right,0,0.5756782699991163
2,dC,90.0,vertical,right,0,0.4218243309987884
1,uC,92.0,right,right,1,0.421783845000391
2,cN1,90.0,vertical,right,0,0.4221581759993569
1,cC,89.0,left,left,1,0.959038087999943
1,dC,92.0,right,right,1,0.4222772520006401
2,cC,83.0,left,left,1,0.3838718890001473
2,uC,90.0,vertical,right,0,1.112855710000076
1,cC,91.0,right,right,1,1.343480457999249
1,uC,91.5,right,left,0,0.6143156529997214
1,cC,89.0,left,left,1,0.3452538029996504
