StaircaseNo,TestLoc,Orientation,CorrectAns,ResponseKey,ResponseCorr,RT
2,uC,80.0,left,left,1,0.7292553290026262
2,cN1,80.0,left,left,1,0.5368511529813986
1,cN1,105.0,right,right,1,0.2686315909959376
2,dC,80.0,left,left,1,0.52572023900575
1,dC,105.0,right,right,1,0.4611981959897093
1,cN1,103.0,right,right,1,0.3837723899923731
1,uC,105.0,right,right,1,0.4985385920153931
2,uC,82.0,left,left,1,0.5371404540201183
2,cF1,80.0,left,left,1,0.3836799570126459
1,dC,103.0,right,right,1,0.6907669260108378
1,dC,101.0,right,right,1,0.4988234859774821
1,cF1,105.0,right,right,1,0.6139326690172311
1,cC,105.0,right,right,1,0.4989681419974659
1,cC,103.0,right,right,1,0.6522309120045975
1,cN1,101.0,right,right,1,0.3837308249785565
2,cN1,82.0,left,left,1,0.4609904919925611
1,cC,101.0,right,right,1,0.5755452689772937
2,dC,82.0,left,left,1,0.6137879210000392
1,cN1,99.0,right,right,1,0.268858082999941
2,dC,84.0,left,left,1,0.575476895988686
2,cF1,82.0,left,left,1,0.5371507779927924
1,cF1,103.0,right,right,1,0.4612694759853184
1,dC,99.0,right,right,1,0.3455152660026215
2,cC,80.0,left,left,1,0.4605246399878524
2,uC,84.0,left,left,1,0.3835932340007275
2,cC,82.0,left,left,1,0.3452010060136672
1,cN1,97.0,right,right,1,0.2693836310063489
2,cC,84.0,left,left,1,0.2302995389909483
2,cF1,84.0,left,left,1,0.2684047619986814
2,cF1,86.0,left,left,1,0.2305973060138058
2,uC,86.0,left,left,1,0.3071329270023853
1,cF1,101.0,right,right,1,0.3454371409898158
2,uC,88.0,left,left,1,0.3840035559842363
1,uC,103.0,right,right,1,0.3071595359942876
1,cF1,99.0,right,right,1,0.3072438460076228
1,cC,99.0,right,right,1,0.4220899189822376
2,cN1,84.0,left,left,1,0.3840297980059404
2,cC,86.0,left,left,1,0.4604279680061154
1,cF1,97.0,right,left,0,0.5754367769986857
1,cF1,98.0,right,left,0,0.5758154490031302
1,cN1,95.0,right,right,1,0.6139539860014338
1,cF1,99.0,right,right,1,0.6523996000178158
2,uC,90.0,vertical,left,0,0.6524185629968997
1,cF1,98.5,right,left,0,0.4221967839985155
2,dC,86.0,left,left,1,0.6520252189948224
2,cC,88.0,left,left,1,0.8063849530008156
2,uC,90.0,vertical,left,0,1.535261546989204
1,cN1,93.0,right,right,1,0.537283634999767
2,uC,90.0,vertical,right,0,0.5752859860076569
1,dC,97.0,right,right,1,0.4990104729949962
2,uC,90.0,vertical,left,0,0.8056828099943232
2,cC,90.0,vertical,right,0,0.7678701360127889
1,dC,95.0,right,right,1,0.4988409729849081
1,uC,101.0,right,right,1,0.7670897940115537
2,cF1,88.0,left,left,1,0.4988397970155347
2,cC,90.0,vertical,left,0,0.7674606499786023
2,uC,90.0,vertical,left,0,0.9977658879943192
2,cF1,90.0,vertical,left,0,0.5373835689970292
1,dC,93.0,right,right,1,0.4601651140255854
